object  	object_drugbank	precipitant	precipitant_drugbank	Effect	Mechanism	Related Drugs	Options	
AMIODARONE	DB01118	LEVOFLOXACIN	DB01137	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels	"�Azithromycin (Zithromax�), clarithromycin (Biaxin�), erythromycin (E-Mycin�), and telithromycin (Ketek�) also have a possible risk of TDP and/or QTc prolongation on ECG"	"Usually Avoid �Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"	
AMIODARONE	DB01118	GEMIFLOXACIN	DB01155	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels	"�Azithromycin (Zithromax�), clarithromycin (Biaxin�), erythromycin (E-Mycin�), and telithromycin (Ketek�) also have a possible risk of TDP and/or QTc prolongation on ECG"	"Usually Avoid �Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"	
AMIODARONE	DB01118	MOXIFLOXACIN	DB00218	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels	"�Azithromycin (Zithromax�), clarithromycin (Biaxin�), erythromycin (E-Mycin�), and telithromycin (Ketek�) also have a possible risk of TDP and/or QTc prolongation on ECG"	"Usually Avoid �Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"	
AMIODARONE	DB01118	OFLOXACIN	DB01165	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels	"�Azithromycin (Zithromax�), clarithromycin (Biaxin�), erythromycin (E-Mycin�), and telithromycin (Ketek�) also have a possible risk of TDP and/or QTc prolongation on ECG"	"Usually Avoid �Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"	
AMIODARONE	DB01118	CIPROFLOXACIN	DB00537	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels	"�Azithromycin (Zithromax�), clarithromycin (Biaxin�), erythromycin (E-Mycin�), and telithromycin (Ketek�) also have a possible risk of TDP and/or QTc prolongation on ECG"	"Usually Avoid �Consider Alternatives: Alternative antimicrobials include ciprofloxacin (relatively lower risk QTc prolongation than other quinolones), penicillins, and cephalosporins. See www.azcert.org for QT drug lists by risk group"	
CARBAMAZEPINE	DB00564	CLARITHROMYCIN	DB01211	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4	�Azithromycin (Zithromax�) does�not�appear to inhibit CYP3A4	"Take Precautions �Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) �Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."	
CARBAMAZEPINE	DB00564	ERYTHROMYCIN	DB00199	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4	�Azithromycin (Zithromax�) does�not�appear to inhibit CYP3A4	"Take Precautions �Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) �Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."	
CARBAMAZEPINE	DB00564	TELITHROMYCIN	DB00976	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4	�Azithromycin (Zithromax�) does�not�appear to inhibit CYP3A4	"Take Precautions �Consider Alternatives: Consider alternative antimicrobials (e.g., azithromycin, quinolones, 2nd/3rd generation cephalosporins, penicillin) �Monitor: If alternatives are not appropriate, monitor carbamazepine concentrations (e.g., within 24 hours) and consider temporary downward adjustment of the carbamazepine dosage (e.g., by 30-50%). Warn patients about symptoms of carbamazepine toxicity (e.g., nausea, vomiting, dizziness, drowsiness, headache, diplopia, confusion). Also monitor for altered carbamazepine effect when clarithromycin or erythromycin are changed in dosage or discontinued.If carbamazepine is started in the presence of one of these agents, consider conservative initial carbamazepine dosing."	
CLOPIDOGREL	DB00758	OMEPRAZOLE	DB00338	Decreased concentrations of clopidogrel active metabolite and decreased antiplatelet effects	Inhibition of clopidogrel (prodrug) metabolism to active metabolite by CYP2C19	�Esomeprazole (Nexium�) is thought to also inhibit CYP2C19; insufficient data regarding other PPIs �Cimetidine (Tagamet�) inhibits CYP2C19	Usually Avoid �Consider Alternatives: Consider an alternative proton-pump inhibitor (except esomeprazole) Other alternatives include H2 blockers (except cimetidine).	
DIGOXIN 	DB00390	CLARITHROMYCIN  	DB01211	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin		Isolated reports of digoxin toxicity have been associated with azithromycin (Zithromax�) therapy	"Take Precautions �Consider Alternatives: Consider alternative antimicrobials that do not inhibit P-glycoprotein (e.g., 2nd/3rd generation cephalosporins, penicillin, quinolones) �Monitor: If alternatives are not appropriate, evaluate patients for evidence of digoxin toxicity (e.g., nausea, malaise, fatigue visual, changes, headache, arrhythmias), with downward digoxin dosage adjustments as needed. Also monitor for altered digoxin effect when clarithromycin or erythromycin are changed in dosage or discontinued. If digoxin is started in the presence of one of these agents, consider conservative initial digoxin dosing."
