object	object_drugbank	precipitant	precipitant_drugbank	Effect	Mechanism
AMIODARONE	DB01118	LEVOFLOXACIN	DB01137	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels
AMIODARONE	DB01118	GEMIFLOXACIN	DB01155	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels
AMIODARONE	DB01118	MOXIFLOXACIN	DB00218	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels
AMIODARONE	DB01118	OFLOXACIN	DB01165	Increased risk of TdP and/or QTc prolongation on ECG	Concomitant blockade of cardiac potassium channels
CARBAMAZEPINE	DB00564	CLARITHROMYCIN	DB01211	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4
CARBAMAZEPINE	DB00564	ERYTHROMYCIN	DB00199	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4
CARBAMAZEPINE	DB00564	TELITHROMYCIN	DB00976	Increased carbamazepine concentrations and risk of carbamazepine toxicity	Inhibition of carbamazepine metabolism by CYP3A4
CLOPIDOGREL	DB00758	OMEPRAZOLE	DB00338	Decreased concentrations of clopidogrel active metabolite and decreased antiplatelet effects	Inhibition of clopidogrel (prodrug) metabolism to active metabolite by CYP2C19
DIGOXIN	DB00390	CLARITHROMYCIN	DB01211	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin
DIGOXIN	DB00390	ERYTHROMYCIN	DB00199	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin
DIGOXIN	DB00390	ITRACONAZOLE	DB01167	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin
DIGOXIN	DB00390	KETOCONAZOLE	DB01026	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin
DIGOXIN	DB00390	POSACONAZOLE	DB01263	Increased digoxin concentrations and risk of digoxin toxicity	Inhibition of digoxin transport by P-glycoprotein resulting in reduced renal and nonrenal elimination of digoxin
SIMVASTATIN	DB00641	AMIODARONE	DB01118	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of metabolism of simvastatin/ lovastatin by CYP3A4
ATORVASTATIN	DB01076	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ATORVASTATIN	DB01076	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ATORVASTATIN	DB01076	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ATORVASTATIN	DB01076	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ATORVASTATIN	DB01076	FLUCONAZOLE	DB00196	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
FLUVASTATIN	DB01095	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
FLUVASTATIN	DB01095	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
FLUVASTATIN	DB01095	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
FLUVASTATIN	DB01095	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
FLUVASTATIN	DB01095	FLUCONAZOLE	DB00196	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
LOVASTATIN	DB00227	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
LOVASTATIN	DB00227	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
LOVASTATIN	DB00227	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
LOVASTATIN	DB00227	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
LOVASTATIN	DB00227	FLUCONAZOLE	DB00196	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
PRAVASTATIN	DB00175	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
PRAVASTATIN	DB00175	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
PRAVASTATIN	DB00175	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
PRAVASTATIN	DB00175	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
PRAVASTATIN	DB00175	FLUCONAZOLE	DB00196	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ROSUVASTATIN	DB01098	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ROSUVASTATIN	DB01098	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ROSUVASTATIN	DB01098	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ROSUVASTATIN	DB01098	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
ROSUVASTATIN	DB01098	FLUCONAZOLE	DB00196	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
SIMVASTATIN	DB00641	ITRACONAZOLE	DB01167	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
SIMVASTATIN	DB00641	KETOCONAZOLE	DB01026	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
SIMVASTATIN	DB00641	POSACONAZOLE	DB01263	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
SIMVASTATIN	DB00641	VORICONAZOLE	DB00582	Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis	Inhibition of simvastatin/ lovastatin metabolism by CYP3A4
