Drug 1 Name	Drug 2 Name	Summary	Description
Adefovir	Abacavir	Not Available	Not Available
Adefovir	Acamprosate	Not Available	Not Available
Adefovir	Acarbose	Not Available	Not Available
Adefovir	Acebutolol	Not Available	Not Available
Adefovir	Acenocoumarol	Not Available	Not Available
Adefovir	Acetazolamide	Not Available	Not Available
Adefovir	Aciclovir	Coadministration has not been studied. Aciclovir is eliminated primarily unchanged in the urine via active renal tubular secretion. Adefovir is excreted renally, by a combination of glomerular filtration and active tubular secretion. Coadministration of adefovir with other medicinal products that are eliminated by tubular secretion or alter tubular function may increase serum concentrations of either adefovir or the co-administered medicinal product.	(See Summary)
Adefovir	Acitretin	Not Available	Not Available
Adefovir	Agomelatine	Not Available	Not Available
Adefovir	Albendazole	Not Available	Not Available
Adefovir	Albiglutide	Not Available	Not Available
Adefovir	Alendronic acid	Co-administration has not been studied. There is no evidence in humans or animals that alendronic acid undergoes metabolism, therefore, a pharmacokinetic interaction appears unlikely. However, if taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. 	(See Summary)
Adefovir	Alfentanil	Not Available	Not Available
Adefovir	Alfuzosin	Not Available	Not Available
Adefovir	Aliskiren	Not Available	Not Available
Adefovir	Allopurinol	Not Available	Not Available
Adefovir	Almotriptan	Not Available	Not Available
Adefovir	Aloe vera	Not Available	Not Available
Adefovir	Alogliptin	Not Available	Not Available
Adefovir	Alprazolam	Not Available	Not Available
Adefovir	Aluminium hydroxide	Not Available	Not Available
Adefovir	Alverine citrate	Coadministration has not been studied but based on limited understanding of metabolism and clearance a clinically significant interaction is unlikely. However as alverine citrate affects gastric motility, an effect on the absorption of adefovir cannot be ruled out. Doses of adefovir and alverine should be separated by 4 hours if possible.	(See Summary)
Adefovir	Amantadine	Not Available	Not Available
Adefovir	Ambrisentan	Not Available	Not Available
Adefovir	Amikacin	Not Available	Not Available
Adefovir	Amiloride	Not Available	Not Available
Adefovir	Amiodarone	Not Available	Not Available
Adefovir	Amisulpride	Not Available	Not Available
Adefovir	Amitriptyline	Not Available	Not Available
Adefovir	Amlodipine	Not Available	Not Available
Adefovir	Amodiaquine	Not Available	Not Available
Adefovir	Amoxicillin	Not Available	Not Available
Adefovir	Amphetamine	Not Available	Not Available
