#ID	Entry created	Structure updated	Entry updated
D00001	2005-01-28	2007-07-06	2013-06-25
D00002	2001-08-06	2007-05-30	2009-06-18
D00003	2000-11-01	2006-09-27	2012-07-30
D00004	2000-11-01	2006-06-09	2012-01-30
D00005	2000-11-01	2007-04-02	2013-06-25
D00006	2000-11-01	2007-06-26	2013-06-28
D00007	2000-11-01	2006-09-28	2012-07-30
D00008	2000-11-01	2007-04-13	2013-06-25
D00009	2000-11-13	2006-12-12	2013-07-02
D00010	2000-11-01	2007-01-17	2013-07-01
D00011	2000-11-01	2006-12-04	2012-11-28
D00012	2000-11-01	2007-01-18	2012-07-30
D00013	2000-11-01	2007-05-08	2008-05-16
D00014	2000-11-01	2007-04-09	2013-06-13
D00015	2000-11-01	2006-09-28	2013-06-17
D00016	2000-11-01	2006-11-06	2011-04-14
D00017	2000-11-01	2006-05-02	2013-06-25
D00018	2000-11-01	2008-06-19	2013-06-28
D00019	2000-11-01	2006-09-06	2013-07-09
D00020	2000-11-01	2009-06-18	2012-07-30
D00021	2000-11-01	2011-09-06	2012-07-30
D00022	2000-11-13	2010-01-04	2012-07-30
D00023	2000-11-01	2006-12-22	2013-07-01
D00024	2000-11-01		2013-07-01
D00025	2001-10-24	2006-11-20	2013-06-25
D00026	2000-11-01	2007-03-07	2011-04-14
D00027	2000-11-01	2006-12-22	2012-07-30
D00028	2000-11-01	2011-12-15	2013-06-26
D00029	2000-11-01	2006-06-02	2013-07-01
D00030	2001-06-26	2007-05-08	2012-07-30
D00031	2000-11-01	2007-06-07	2013-06-13
D00032	2000-11-13	2009-09-14	2011-04-18
D00033	2000-11-01	2006-10-05	2013-06-25
D00034	2000-11-01	2007-01-18	2013-06-10
D00035	2000-11-01	2011-07-04	2011-04-18
D00036	2000-11-01	2006-09-19	2013-06-28
D00037	2000-11-01	2010-12-06	2013-01-11
D00038	2000-11-01	2006-06-01	2013-06-27
D00039	2000-11-01	2006-12-27	2012-07-30
D00040	2000-11-01	2006-11-08	2013-01-18
D00041	2001-09-19	2006-12-05	2007-11-12
D00042	2000-11-01	2013-04-08	2013-06-28
D00043	2000-11-01	2006-05-30	2011-10-24
D00044	2000-11-13	2006-08-30	2013-07-02
