NUI,FDASubstancePrefName,Drugbank_Bio2rdf
http://purl.bioontology.org/ontology/NDFRT/N0000004254,ABACAVIR,http://bio2rdf.org/drugbank:DB01048
http://purl.bioontology.org/ontology/NDFRT/N0000022135,ABACAVIR,http://bio2rdf.org/drugbank:DB01048
http://purl.bioontology.org/ontology/NDFRT/N0000180961,ABACAVIR,http://bio2rdf.org/drugbank:DB01048
http://purl.bioontology.org/ontology/NDFRT/N0000171747,ABATACEPT,http://bio2rdf.org/drugbank:DB01281
http://purl.bioontology.org/ontology/NDFRT/N0000175348,ABATACEPT,http://bio2rdf.org/drugbank:DB01281
http://purl.bioontology.org/ontology/NDFRT/N0000007092,ABCIXIMAB,http://bio2rdf.org/drugbank:DB00054
http://purl.bioontology.org/ontology/NDFRT/N0000148393,ABCIXIMAB,http://bio2rdf.org/drugbank:DB00054
http://purl.bioontology.org/ontology/NDFRT/N0000010555,ACAMPROSATE,http://bio2rdf.org/drugbank:DB00659
http://purl.bioontology.org/ontology/NDFRT/N0000148859,ACAMPROSATE,http://bio2rdf.org/drugbank:DB00659
http://purl.bioontology.org/ontology/NDFRT/N0000007005,ACARBOSE,http://bio2rdf.org/drugbank:DB00284
http://purl.bioontology.org/ontology/NDFRT/N0000148420,ACARBOSE,http://bio2rdf.org/drugbank:DB00284
http://purl.bioontology.org/ontology/NDFRT/N0000007333,ACEBUTOLOL,http://bio2rdf.org/drugbank:DB01193
http://purl.bioontology.org/ontology/NDFRT/N0000147688,ACEBUTOLOL,http://bio2rdf.org/drugbank:DB01193
http://purl.bioontology.org/ontology/NDFRT/N0000007359,ACETAMINOPHEN,http://bio2rdf.org/drugbank:DB00316
http://purl.bioontology.org/ontology/NDFRT/N0000145898,ACETAMINOPHEN,http://bio2rdf.org/drugbank:DB00316
http://purl.bioontology.org/ontology/NDFRT/N0000007364,ACETAZOLAMIDE,http://bio2rdf.org/drugbank:DB00819
http://purl.bioontology.org/ontology/NDFRT/N0000146250,ACETAZOLAMIDE,http://bio2rdf.org/drugbank:DB00819
http://purl.bioontology.org/ontology/NDFRT/N0000006306,ACETYLCHOLINE,http://bio2rdf.org/drugbank:DB03128
http://purl.bioontology.org/ontology/NDFRT/N0000147690,ACETYLCHOLINE,http://bio2rdf.org/drugbank:DB03128
http://purl.bioontology.org/ontology/NDFRT/N0000006327,ACETYLCYSTEINE,http://bio2rdf.org/drugbank:DB06151
http://purl.bioontology.org/ontology/NDFRT/N0000147113,ACETYLCYSTEINE,http://bio2rdf.org/drugbank:DB06151
http://purl.bioontology.org/ontology/NDFRT/N0000007192,ACITRETIN,http://bio2rdf.org/drugbank:DB00459
http://purl.bioontology.org/ontology/NDFRT/N0000148524,ACITRETIN,http://bio2rdf.org/drugbank:DB00459
http://purl.bioontology.org/ontology/NDFRT/N0000007269,ACYCLOVIR,http://bio2rdf.org/drugbank:DB00787
http://purl.bioontology.org/ontology/NDFRT/N0000147084,ACYCLOVIR,http://bio2rdf.org/drugbank:DB00787
http://purl.bioontology.org/ontology/NDFRT/N0000010034,ADALIMUMAB,http://bio2rdf.org/drugbank:DB00051
http://purl.bioontology.org/ontology/NDFRT/N0000148789,ADALIMUMAB,http://bio2rdf.org/drugbank:DB00051
http://purl.bioontology.org/ontology/NDFRT/N0000006484,ADAPALENE,http://bio2rdf.org/drugbank:DB00210
http://purl.bioontology.org/ontology/NDFRT/N0000148452,ADAPALENE,http://bio2rdf.org/drugbank:DB00210
http://purl.bioontology.org/ontology/NDFRT/N0000010035,ADEFOVIR,http://bio2rdf.org/drugbank:DB00718
http://purl.bioontology.org/ontology/NDFRT/N0000022290,ADEFOVIR,http://bio2rdf.org/drugbank:DB00718
http://purl.bioontology.org/ontology/NDFRT/N0000007309,ADENINE,http://bio2rdf.org/drugbank:DB00173
http://purl.bioontology.org/ontology/NDFRT/N0000147177,ADENINE,http://bio2rdf.org/drugbank:DB00173
http://purl.bioontology.org/ontology/NDFRT/N0000007355,ADENOSINE,http://bio2rdf.org/drugbank:DB00640
http://purl.bioontology.org/ontology/NDFRT/N0000147627,ADENOSINE,http://bio2rdf.org/drugbank:DB00640
http://purl.bioontology.org/ontology/NDFRT/N0000010037,"AGALSIDASE BETA",http://bio2rdf.org/drugbank:DB00103
http://purl.bioontology.org/ontology/NDFRT/N0000148806,"AGALSIDASE BETA",http://bio2rdf.org/drugbank:DB00103
http://purl.bioontology.org/ontology/NDFRT/N0000007363,ALANINE,http://bio2rdf.org/drugbank:DB00160
http://purl.bioontology.org/ontology/NDFRT/N0000007363,ALANINE,http://bio2rdf.org/drugbank:DB01786
http://purl.bioontology.org/ontology/NDFRT/N0000146978,ALANINE,http://bio2rdf.org/drugbank:DB00160
http://purl.bioontology.org/ontology/NDFRT/N0000146978,ALANINE,http://bio2rdf.org/drugbank:DB01786
http://purl.bioontology.org/ontology/NDFRT/N0000006466,ALBENDAZOLE,http://bio2rdf.org/drugbank:DB00518
http://purl.bioontology.org/ontology/NDFRT/N0000148464,ALBENDAZOLE,http://bio2rdf.org/drugbank:DB00518
http://purl.bioontology.org/ontology/NDFRT/N0000007409,ALBUTEROL,http://bio2rdf.org/drugbank:DB01001
http://purl.bioontology.org/ontology/NDFRT/N0000147099,ALBUTEROL,http://bio2rdf.org/drugbank:DB01001
http://purl.bioontology.org/ontology/NDFRT/N0000181719,ALCAFTADINE,http://bio2rdf.org/drugbank:DB06766
http://purl.bioontology.org/ontology/NDFRT/N0000147692,ALCLOMETASONE,http://bio2rdf.org/drugbank:DB00240
http://purl.bioontology.org/ontology/NDFRT/N0000147193,"ALCLOMETASONE DIPROPIONATE",http://bio2rdf.org/drugbank:DB00240
http://purl.bioontology.org/ontology/NDFRT/N0000179031,"ALCLOMETASONE DIPROPIONATE",http://bio2rdf.org/drugbank:DB00240
http://purl.bioontology.org/ontology/NDFRT/N0000006812,ALDESLEUKIN,http://bio2rdf.org/drugbank:DB00041
http://purl.bioontology.org/ontology/NDFRT/N0000148066,ALDESLEUKIN,http://bio2rdf.org/drugbank:DB00041
http://purl.bioontology.org/ontology/NDFRT/N0000010038,ALEFACEPT,http://bio2rdf.org/drugbank:DB00092
http://purl.bioontology.org/ontology/NDFRT/N0000148792,ALEFACEPT,http://bio2rdf.org/drugbank:DB00092
http://purl.bioontology.org/ontology/NDFRT/N0000010039,ALEMTUZUMAB,http://bio2rdf.org/drugbank:DB00087
http://purl.bioontology.org/ontology/NDFRT/N0000148705,ALEMTUZUMAB,http://bio2rdf.org/drugbank:DB00087
http://purl.bioontology.org/ontology/NDFRT/N0000006447,ALFENTANIL,http://bio2rdf.org/drugbank:DB00802
http://purl.bioontology.org/ontology/NDFRT/N0000147693,ALFENTANIL,http://bio2rdf.org/drugbank:DB00802
http://purl.bioontology.org/ontology/NDFRT/N0000010340,ALFUZOSIN,http://bio2rdf.org/drugbank:DB00346
http://purl.bioontology.org/ontology/NDFRT/N0000148814,ALFUZOSIN,http://bio2rdf.org/drugbank:DB00346
http://purl.bioontology.org/ontology/NDFRT/N0000171827,"ALGLUCOSIDASE ALFA",http://bio2rdf.org/drugbank:DB01272
http://purl.bioontology.org/ontology/NDFRT/N0000176084,ALISKIREN,http://bio2rdf.org/drugbank:DB01258
http://purl.bioontology.org/ontology/NDFRT/N0000179765,ALISKIREN,http://bio2rdf.org/drugbank:DB01258
http://purl.bioontology.org/ontology/NDFRT/N0000006664,ALITRETINOIN,http://bio2rdf.org/drugbank:DB00523
http://purl.bioontology.org/ontology/NDFRT/N0000148606,ALITRETINOIN,http://bio2rdf.org/drugbank:DB00523
http://purl.bioontology.org/ontology/NDFRT/N0000005830,ALLOPURINOL,http://bio2rdf.org/drugbank:DB00437
http://purl.bioontology.org/ontology/NDFRT/N0000146247,ALLOPURINOL,http://bio2rdf.org/drugbank:DB00437
http://purl.bioontology.org/ontology/NDFRT/N0000010060,ALMOTRIPTAN,http://bio2rdf.org/drugbank:DB00918
http://purl.bioontology.org/ontology/NDFRT/N0000148709,ALMOTRIPTAN,http://bio2rdf.org/drugbank:DB00918
http://purl.bioontology.org/ontology/NDFRT/N0000005874,ALOSETRON,http://bio2rdf.org/drugbank:DB00969
http://purl.bioontology.org/ontology/NDFRT/N0000148640,ALOSETRON,http://bio2rdf.org/drugbank:DB00969
http://purl.bioontology.org/ontology/NDFRT/N0000006611,ALPRAZOLAM,http://bio2rdf.org/drugbank:DB00404
http://purl.bioontology.org/ontology/NDFRT/N0000146413,ALPRAZOLAM,http://bio2rdf.org/drugbank:DB00404
http://purl.bioontology.org/ontology/NDFRT/N0000006614,ALPROSTADIL,http://bio2rdf.org/drugbank:DB00770
http://purl.bioontology.org/ontology/NDFRT/N0000146437,ALPROSTADIL,http://bio2rdf.org/drugbank:DB00770
http://purl.bioontology.org/ontology/NDFRT/N0000007047,ALTEPLASE,http://bio2rdf.org/drugbank:DB00009
http://purl.bioontology.org/ontology/NDFRT/N0000147508,ALTEPLASE,http://bio2rdf.org/drugbank:DB00009
http://purl.bioontology.org/ontology/NDFRT/N0000147695,ALTEPLASE,http://bio2rdf.org/drugbank:DB00009
http://purl.bioontology.org/ontology/NDFRT/N0000007266,ALTRETAMINE,http://bio2rdf.org/drugbank:DB00488
http://purl.bioontology.org/ontology/NDFRT/N0000147673,ALTRETAMINE,http://bio2rdf.org/drugbank:DB00488
http://purl.bioontology.org/ontology/NDFRT/N0000171764,ALVIMOPAN,http://bio2rdf.org/drugbank:DB06274
http://purl.bioontology.org/ontology/NDFRT/N0000179783,ALVIMOPAN,http://bio2rdf.org/drugbank:DB06274
http://purl.bioontology.org/ontology/NDFRT/N0000006670,AMANTADINE,http://bio2rdf.org/drugbank:DB00915
http://purl.bioontology.org/ontology/NDFRT/N0000147697,AMANTADINE,http://bio2rdf.org/drugbank:DB00915
http://purl.bioontology.org/ontology/NDFRT/N0000020242,AMBENONIUM,http://bio2rdf.org/drugbank:DB01122
http://purl.bioontology.org/ontology/NDFRT/N0000005899,AMCINONIDE,http://bio2rdf.org/drugbank:DB00288
http://purl.bioontology.org/ontology/NDFRT/N0000146271,AMCINONIDE,http://bio2rdf.org/drugbank:DB00288
http://purl.bioontology.org/ontology/NDFRT/N0000007354,AMIFOSTINE,http://bio2rdf.org/drugbank:DB01143
http://purl.bioontology.org/ontology/NDFRT/N0000148443,AMIFOSTINE,http://bio2rdf.org/drugbank:DB01143
http://purl.bioontology.org/ontology/NDFRT/N0000006770,AMIKACIN,http://bio2rdf.org/drugbank:DB00479
http://purl.bioontology.org/ontology/NDFRT/N0000147698,AMIKACIN,http://bio2rdf.org/drugbank:DB00479
http://purl.bioontology.org/ontology/NDFRT/N0000006772,AMILORIDE,http://bio2rdf.org/drugbank:DB00594
http://purl.bioontology.org/ontology/NDFRT/N0000147699,AMILORIDE,http://bio2rdf.org/drugbank:DB00594
http://purl.bioontology.org/ontology/NDFRT/N0000005738,AMINOPHYLLINE,http://bio2rdf.org/drugbank:DB00587
http://purl.bioontology.org/ontology/NDFRT/N0000005738,AMINOPHYLLINE,http://bio2rdf.org/drugbank:DB01223
http://purl.bioontology.org/ontology/NDFRT/N0000146397,AMINOPHYLLINE,http://bio2rdf.org/drugbank:DB01223
http://purl.bioontology.org/ontology/NDFRT/N0000146397,AMINOPHYLLINE,http://bio2rdf.org/drugbank:DB00587
