Name	TYPE	UNII	PT
5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE	PT	0129526470	5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE
(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE, 5,8-DIMETHOXY-	SN	0129526470	5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE
2-AMINO-5,8-DIMETHOXY-(1,2,4)TRIAZOLO(1,5-C)PYRIMIDINE	SY	0129526470	5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE
MACROPIPER EXCELSUM LEAF	PT	0258808825	MACROPIPER EXCELSUM LEAF
KAWAKAWA LEAF	SY	0258808825	MACROPIPER EXCELSUM LEAF
MACROPIPER EXCELSUM LEAF EXTRACT	SY	0258808825	MACROPIPER EXCELSUM LEAF
MACROPIPER EXCELSUM LEAF EXTRACT [INCI]	SY	0258808825	MACROPIPER EXCELSUM LEAF
MACROPIPER EXCELSUM LEAF POWDER	SY	0258808825	MACROPIPER EXCELSUM LEAF
MACROPIPER EXCELSUM LEAF POWDER [INCI]	SY	0258808825	MACROPIPER EXCELSUM LEAF
N-DESMETHYLVENLAFAXINE, (S)-	PT	0377415922	N-DESMETHYLVENLAFAXINE, (S)-
1-((1S)-1-(4-METHOXYPHENYL)-2-(METHYLAMINO)ETHYL)CYCLOHEXANOL	SN	0377415922	N-DESMETHYLVENLAFAXINE, (S)-
CYCLOHEXANOL, 1-((1S)-1-(4-METHOXYPHENYL)-2-(METHYLAMINO)ETHYL)-	SN	0377415922	N-DESMETHYLVENLAFAXINE, (S)-
(+)-N-DEMETHYLVENLAFAXIN	SY	0377415922	N-DESMETHYLVENLAFAXINE, (S)-
(S)-N-DEMETHYLVENLAFAXIN	SY	0377415922	N-DESMETHYLVENLAFAXINE, (S)-
VERRUCARIN	PT	0457970679	VERRUCARIN
VERRUCARINS	SY	0457970679	VERRUCARIN
VERRUCARINS [MI]	SY	0457970679	VERRUCARIN
ALLIUM STRACHEYI WHOLE	PT	0909840846	ALLIUM STRACHEYI WHOLE
OXALIS CORNICULATA LEAF	PT	0979361098	OXALIS CORNICULATA LEAF
ACETOSELLA CORNICULATA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
ACETOSELLA FONTANA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
ACETOSELLA STRICTA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
CHANGERI LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS BRADEI LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS CORNICULATA LEAF [WHO-DD]	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS GRENADENSIS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS JAMAICENSIS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS LANGLOISII LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS LUPULINA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS MERIDENSIS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS NORLINDIANA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS PILOSIUSCULA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS PROCUMBENS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS PUBESCENS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS RADICOSA LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
OXALIS REPENS LEAF	SY	0979361098	OXALIS CORNICULATA LEAF
