id	affectingdrug	affectingatc	affecteddrug	affectedatc	effect	significance	evidence	comment
1	ACETAMINOPHEN	N02BE01	BENZODIAZEPINE, LONG ACTING	N05BA01	I	1	 	
2	ACETAMINOPHEN	N02BE01	BENZODIAZEPINE, LONG ACTING	N05BA12	I	1	 	
3	ACETAMINOPHEN	N02BE01	BENZODIAZEPINE, LONG ACTING	N05CD01	I	1	 	
9	ACETAMINOPHEN	N02BE01	CONTRACEPTIVES, ORAL	G03A	A	1	P	
10	ACETAMINOPHEN	N02BE01	ESTROGEN, CONJUGATED	G03CA57	A	1	 	
11	ACETAMINOPHEN	N02BE01	SALICYLATES	J04AA01	A	1	P	
12	ACETAMINOPHEN	N02BE01	SALICYLATES	J04AA02	A	1	P	
13	ACETAMINOPHEN	N02BE01	SALICYLATES	J04AA03	A	1	P	
14	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA	A	1	P	
15	ACETAMINOPHEN	N02BE01	SALICYLATES	M02AC	A	1	P	
16	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA01	A	1	P	
17	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA03	A	1	P	
18	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA04	A	1	P	
19	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA08	A	1	P	
20	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA12	A	1	P	
21	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA16	A	1	P	
22	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA51	A	1	P	
23	ACETAMINOPHEN	N02BE01	SALICYLATES	N02BA71	A	1	P	
24	ACETAMINOPHEN	N02BE01	SALICYLATES	P02DA	A	1	P	
25	ACETAMINOPHEN	N02BE01	SALICYLATES	S01BC08	A	1	P	
26	ACETAMINOPHEN	N02BE01	ASPIRIN	A01AD05	A	1	P	
27	ACETAMINOPHEN	N02BE01	ASPIRIN	B01AC06	A	1	P	
31	ACETAMINOPHEN	N02BE01	ASPIRIN	M01BA03	A	1	P	
32	ACETAMINOPHEN	N02BE01	WARFARIN	B01AA03	A	1	G	With high doses of acetaminophen only
33	ALLOPURINOL	M04AA01	BETA BLOCKERS	C07A	N	 	P	
35	ALLOPURINOL	M04AA01	METOPRALOL	C07AB02	N	 	P	
36	ALLOPURINOL	M04AA01	METOPRALOL	C07AB52	N	 	P	
37	ALLOPURINOL	M04AA01	METOPRALOL	C07BB02	N	 	P	
38	ALLOPURINOL	M04AA01	METOPRALOL	C07BB52	N	 	P	
39	ALLOPURINOL	M04AA01	METOPRALOL	C07CB02	N	 	P	
40	ALLOPURINOL	M04AA01	METOPRALOL	C07FB02	N	 	P	
47	ALLOPURINOL	M04AA01	ATENOLOL	C07AB03	N	 	P	
49	ALLOPURINOL	M04AA01	PROPRANOLOL	C07AA05	N	 	P	
51	ALLOPURINOL	M04AA01	IRON	B03A	N	 	P	
53	ALLOPURINOL	M04AA01	PENICILLIN	J01C	A	1	P	Possibly higher incidents of ampicillins-associated rash
54	ALLOPURINOL	M04AA01	PENICILLIN	J01RA01	A	1	P	Possibly higher incidents of ampicillins-associated rash
55	ALLOPURINOL	M04AA01	AMOXICILLIN	J01CA04	A	1	P	Possibly higher incidents of ampicillins-associated rash
56	ALLOPURINOL	M04AA01	AMPICILLIN	J01CA01	A	1	P	Possibly higher incidents of ampicillins-associated rash
57	ALLOPURINOL	M04AA01	AMPICILLIN	S01AA19	A	1	P	Possibly higher incidents of ampicillins-associated rash
58	ALLOPURINOL	M04AA01	CLOXACILLIN	J01CF02	A	1	P	Possibly higher incidents of ampicillins-associated rash
59	ALLOPURINOL	M04AA01	THEOPHYLLINE	R03DA04	A	1	 	
60	ALLOPURINOL	M04AA01	THIAZIDES	C03AA	N	 	P	
61	ALLOPURINOL	M04AA01	CHLORTHALIDONE	C03BA04	N	 	P	
62	ALLOPURINOL	M04AA01	CHLORTHALIDONE	C03BB04	N	 	P	
63	ALLOPURINOL	M04AA01	HYDROCHLOROTHIAZIDE	C03AA03	N	 	P	
68	ALLOPURINOL	M04AA01	WARFARIN	B01AA03	A	2	P	
69	AMILORIDE	C03DB01	CAPTOPRIL	C09AA01	A	2	G	Potentiate risk of hyperkalemia
70	AMILORIDE	C03DB01	CIMETIDINE	A02BA01	I	1	 	
71	AMILORIDE	C03DB01	DIGOXIN	C01AA05	I	1	P	
72	AMILORIDE	C03DB01	ENALAPRIL	C09AA02	A	2	G	Potentiate risk of hyperkalemia
73	AMILORIDE	C03DB01	POTASSIUM	A12B	A	2	G	
74	AMILORIDE	C03DB01	POTASSIUM	A12BA	A	2	G	
75	AMILORIDE	C03DB01	TETRACYCLINE	A01AB13	A	1	P	May elevate BUN levels
76	AMILORIDE	C03DB01	TETRACYCLINE	D06AA04	A	1	P	May elevate BUN levels
77	AMILORIDE	C03DB01	TETRACYCLINE	J01AA07	A	1	P	May elevate BUN levels
78	AMILORIDE	C03DB01	TETRACYCLINE	S01AA09	A	1	P	May elevate BUN levels
79	AMILORIDE	C03DB01	TETRACYCLINE	S02AA08	A	1	P	May elevate BUN levels
80	AMILORIDE	C03DB01	TETRACYCLINE	S03AA02	A	1	P	May elevate BUN levels
81	ANTACIDS	A02A	ALLOPURINOL	M04AA01	I	1	P	
82	ANTACIDS	A02A	BETA BLOCKERS	C07A	I	1	 	
83	ANTACIDS	A02A	METOPRALOL	C07AB02	I	1	 	
84	ANTACIDS	A02A	METOPRALOL	C07AB52	I	1	 	
85	ANTACIDS	A02A	METOPRALOL	C07BB02	I	1	 	
86	ANTACIDS	A02A	METOPRALOL	C07BB52	I	1	 	
87	ANTACIDS	A02A	METOPRALOL	C07CB02	I	1	 	
88	ANTACIDS	A02A	METOPRALOL	C07FB02	I	1	 	
89	ANTACIDS	A02A	ATENOLOL	C07AB03	I	1	 	
90	ANTACIDS	A02A	PROPRANOLOL	C07AA05	I	1	 	
91	ANTACIDS	A02A	CAPTOPRIL	C09AA01	I	1	 	
92	ANTACIDS	A02A	CIMETIDINE	A02BA01	I	1	 	
93	ANTACIDS	A02A	CIPROFLOXACIN	J01MA02	I	1	F	
94	ANTACIDS	A02A	CIPROFLOXACIN	S01AX13	I	1	F	
95	ANTACIDS	A02A	CIPROFLOXACIN	S03AA07	I	1	F	
96	ANTACIDS	A02A	DIGOXIN	C01AA05	I	1	 	
97	ANTACIDS	A02A	ERYTHROMYCIN	D10AF02	A	1	 	
98	ANTACIDS	A02A	ERYTHROMYCIN	J01FA01	A	1	 	
99	ANTACIDS	A02A	ERYTHROMYCIN	S01AA17	A	1	 	
100	ANTACIDS	A02A	GLYBURIDE	A10BB01	A	1	 	
101	ANTACIDS	A02A	IRON	B03A	I	2	P	
102	ANTACIDS	A02A	LEVODOPA	N04BA01	A	1	 	
103	ANTACIDS	A02A	NSAIDS	S01BC	I	1	 	
104	ANTACIDS	A02A	NSAIDS	M01A	I	1	 	
105	ANTACIDS	A02A	DICLOFENAC	M01AB05	I	1	 	
106	ANTACIDS	A02A	DICLOFENAC	M02AA15	I	1	 	
107	ANTACIDS	A02A	DICLOFENAC	S01BC03	I	1	 	
108	ANTACIDS	A02A	IBUPROFIN	G02CC01	I	1	 	
109	ANTACIDS	A02A	IBUPROFIN	M01AE01	I	1	 	
110	ANTACIDS	A02A	IBUPROFIN	M01AE51	I	1	 	
111	ANTACIDS	A02A	INDOMETHACIN	M01AB01	I	1	 	
112	ANTACIDS	A02A	INDOMETHACIN	M01AB51	I	1	 	
113	ANTACIDS	A02A	INDOMETHACIN	S01BC01	I	1	 	
114	ANTACIDS	A02A	NAPROXEN	G02CC02	I	1	 	
115	ANTACIDS	A02A	NAPROXEN	M01AE02	I	1	 	
116	ANTACIDS	A02A	NAPROXEN	M02AA12	I	1	 	
117	ANTACIDS	A02A	PHENYTOIN	N03AB02	I	1	 	
118	ANTACIDS	A02A	PSEUDOEPHEDRINE	R01BA02	A	1	 	Reported with sodium bicarbonate
119	ANTACIDS	A02A	QUINIDINE	C01BA01	A	2	P	
120	ANTACIDS	A02A	RANITIDINE	A02BA02	I	1	 	
121	ANTACIDS	A02A	SALICYLATES	J04AA01	I	1	F	With high doses of aspirin (3g/day)
122	ANTACIDS	A02A	SALICYLATES	J04AA02	I	1	F	With high doses of aspirin (3g/day)
123	ANTACIDS	A02A	SALICYLATES	J04AA03	I	1	F	With high doses of aspirin (3g/day)
124	ANTACIDS	A02A	SALICYLATES	N02BA	I	1	F	With high doses of aspirin (3g/day)
125	ANTACIDS	A02A	SALICYLATES	M02AC	I	1	F	With high doses of aspirin (3g/day)
126	ANTACIDS	A02A	SALICYLATES	N02BA01	I	1	F	With high doses of aspirin (3g/day)
127	ANTACIDS	A02A	SALICYLATES	N02BA03	I	1	F	With high doses of aspirin (3g/day)
128	ANTACIDS	A02A	SALICYLATES	N02BA04	I	1	F	With high doses of aspirin (3g/day)
129	ANTACIDS	A02A	SALICYLATES	N02BA08	I	1	F	With high doses of aspirin (3g/day)
