Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
ACEBUTOLOL 	149	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
ATENOLOL	1202	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
BETAXOLOL	1520	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
BISOPROLOL	19484	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
CARTEOLOL	2116	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
CELIPROLOL	20498	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
LABETALOL	6185	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
LEVOBUNOLOL	1813	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
METOPROLOL	6918	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
NADOLOL	7226	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
NEBIVOLOL	31555	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
PINDOLOL	8332	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
PROPRANOLOL	8787	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
TERTATOLOL	37840	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
TIMOLOL	10600	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
ALLOPURINOL	519	45	ANSM	XANTHINE OXYDASE INHIBITORS	M04AA0
FEBUXOSTAT	73689	45	ANSM	XANTHINE OXYDASE INHIBITORS	M04AA0
ALUMINUM HYDROXIDE / MAGNESIUM CARBONATE	17384	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
HYDROTALCITE	27221	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
MAGALDRATE	29151	7	ANSM	ALUMINUM (SALTS)	A02AD0-001
AMOXICILLIN	723	9	ANSM	AMINOPENICILLINS	J01CA
AMPICILLIN	733	9	ANSM	AMINOPENICILLINS	J01CA
TICARCILLIN	10591	9	ANSM	AMINOPENICILLINS	J01CA
CLONIDINE	2599	41	ANSM	CENTRAL ANTIHYPERTENSIVES	C02AC-001
GUANFACINE 	40114	41	ANSM	CENTRAL ANTIHYPERTENSIVES	C02AC-001
METHYLDOPA	6876	41	ANSM	CENTRAL ANTIHYPERTENSIVES	C02AC-001
MOXONIDIN	30257	41	ANSM	CENTRAL ANTIHYPERTENSIVES	C02AC-001
RILMENIDINE	55679	41	ANSM	CENTRAL ANTIHYPERTENSIVES	C02AC-001
PHENOBARBITAL	8134	30	ANSM	BARBITURATES	N05CA-001
PRIMIDONE	8691	30	ANSM	BARBITURATES	N05CA-001
THIOPENTAL	10493	30	ANSM	BARBITURATES	N05CA-001
