ATC Code	Drug Name
P01BC02	MEFLOQUINE
R03AC02	SALBUTAMOL
N05BC51	MEPROBAMATE
A07EA03	PREDNISONE
L04AX01	AZATHIOPRINE
J01XX04	SPECTINOMYCIN
V03AB15	NALOXONE
C01BC04	FLECAINIDE
N06AB08	FLUVOXAMINE
N05BA14	PINAZEPAM
D01AC08	KETOCONAZOLE
L02BG06	EXEMESTANE
N05AA04	ACEPROMAZINE
N06AA02	IMIPRAMINE
N05AD09	FLUANISONE
C09DB06	LOSARTAN
J01FA02	SPIRAMYCIN
A01AB04	AMPHOTERICINE B
C02AC06	RILMENIDINE
M02AA01	PHENYLBUTAZONE
C02LC51	CLONIDINE
N06DA04	GALANTAMINE
C09BB10	VERAPAMIL
N06AX03	MIANSERIN
H05BA02	CALCITONIN
B03AC06	INJECTABLR IRON SALTS
N05AL02	SULTOPRIDE
A02BD03	LANSOPRAZOLE
CODE	FLUOROQUINOLONES
H01CB03	LANREOTIDE
G01AF11	KETOCONAZOLE
M01AE17	DEXKETOPROFEN TROMETAMOL
C10AA03	PRAVASTATIN
J05AX12	DOLUTEGRAVIR
N06AB06	SERTRALINE
A10BD10	METFORMIN
N04BC01	BROMOCRIPTINE
L04AX02	THALIDOMIDE
L03AB01	INTERFERON ALFA
M01BA03	ACETYLSALICYLIC ACID
D04AA32	DIPHENHYDRAMINE
M03CA	DANTROLENE
J01CA06	BACAMPICILLIN
A02BC05	ESOMEPRAZOLE
A01AC02	DEXAMETHASONE
A10BD07	METFORMIN
N06DA03	RIVASTIGMINE
C02AB02	METHYLDOPA
G02CB01	BROMOCRIPTINE
L01BB05	FLUDARABINE
N03AF03	RUFINAMIDE
A12CB03	ZINC
A08AB01	ORLISTAT
N03AX11	TOPIRAMATE
N02AB52	PETHIDINE
V10BX01	STRONTIUM
N05AB04	PROCHLORPERAZINE
J05AE09	TIPRANAVIR
B05CX02	SORBITOL
J01FA02	SPIRAMYCIN
N02AG01	MORPHINE
C01BA51	QUINIDINE
N05AX13	PALIPERIDONE
J07BE	MUMPS VACCINE
N02AB02	PETHIDINE
G04BD07	TOLTERODINE
A07AC01	MICONAZOLE
G03AA12	ETHINYLESTRADIOL
N05CF01	ZOPICLONE
J01CF04	OXACILLIN
A10BB07	GLIPIZIDE
J01FG02	DALFOPRISTIN
C02DB01	DIHYDRALAZINE
C09CA07	TELMISARTAN
J05AR04	ZIDOVUDINE (AZT)
D07CB04	DEXAMETHASONE
B03AC06	DEXTRAN 40
A02BD04	CLARITHROMYCIN
J01DH03	ERTAPENEM
S01BA01	DEXAMETHASONE
G03DB03	MEDROGESTONE
M03AC03	VECURONIUM
R06AB02	DEXCHLORPHENIRAMINE
J01GB01	TOBRAMYCIN
D08AG02	POVIDONE-IODINE
J01EB05	SULFAFURAZOL
L01XX19	IRINOTECAN
C03DA04	EPLERENONE
J01XX08	LINEZOLID
A10AE04	INSULIN
N06BA07	MODAFINIL
J07BD	MEASLES VACCINE
C09DB02	AMLODIPINE
L03AB61	PEG-INTERFERON ALFA-2A
R01AD52	PREDNISOLONE
R06AX02	CYPROHEPTADINE
A11CA01	VITAMIN A
C02LC01	CLONIDINE
M03AC04	ATRACURIUM
N05AA06	CYAMEMAZINE
N02AA05	OXYCODONE
S02CA03	HYDROCORTISONE
J01XD01	METRONIDAZOLE
C03CA04	TORASEMIDE
B01AC17	TIROFIBAN
M05BA06	IBANDRONIC ACID
D05BB01	ETRETINATE
H01AA02	TETRACOSACTIDE
J05AR07	LAMIVUDINE
N04BA03	LEVODOPA
C10AA08	PITAVASTATIN
G01AF05	ECONAZOLE
G02CB	DOPAMINERGIC ALKALOIDS OF
L01XE26	CABOZANTINIB
L04AC03	ANAKINRA
A06AG04	GLYCEROL
G03DA03	HYDROXYPROGESTERONE
C09XA54	HYDROCHLOROTHIAZIDE
J05AX15	SOFOSBUVIR
A02BD02	METRONIDAZOLE
N07CA03	FLUNARIZINE
N05BA15	CAMAZEPAM
N05AX08	RISPERIDONE
D07BB04	HYDROCORTISONE
A11GA01	ASCORBIC ACID
R02AD02	LIDOCAINE
N05BB02	CAPTODIAME
L01XX05	HYDROXYCARBAMIDE
A06AB08	SODIUM PICOSULFATE
N02CA51	METHYLERGOMETRINE
C08CA01	AMLODIPINE
S02CA01	PREDNISOLONE
J05AE03	RITONAVIR
A11HA03	ALPHA-TOCOPHEROL
G03AA09	ETHINYLESTRADIOL
