ATC Code	Drug Name
P01BC02	MEFLOQUINE
R03AC02	SALBUTAMOL
C03EA06	CHLORTALIDONE
M01CC01	PENICILLAMINE
B03A	IRON
A02BC03	LANSOPRAZOLE
G04CA51	ALFUZOSIN
G03FA17	DROSPIRENONE
R06AE55	MECLOZINE
N07AX01	PILOCARPINE
S01EA51	EPINEPHRINE IS THE NAME FOR ADRENALINE SEARCHABLE ON THE ATC SEARCH ENGINE.
C09DB06	LOSARTAN
S01AB02	SULFAFURAZOLE
A01AB22	DOXYCYCLINE
C02LC51	CLONIDINE
C09BB05	FELODIPINE
TICARCILLIN
P02BX04	TRICLABENDAZOLE
G04CA01	ALFUZOSIN
A07EA02	HYDROCORTISONE
J05AF02	DIDANOSINE
A02AF01	MAGALDRATE
C01BC04	FLECAINIDE
C09CA03	VALSARTAN
A02BD01	OMEPRAZOLE
C07BB02	METOPROLOL
N02BE71	PARACETAMOL
L01XE31	NINTEDANIB
N06AB08	FLUVOXAMINE
D01AC08	KETOCONAZOLE
N05BA18	LOFLAZEPATE
S02CA06	DEXAMETHASONE
L04AB01	ETANERCEPT
C03EA01	HYDROCHLOROTHIAZIDE
L02BG06	EXEMESTANE
C03AA03	HYDROCHLOROTHIAZIDE
S01FA05	HOMATROPINE
M01CB04	GOLD
N04AA02	BIPERIDEN
C07AG01	LABETALOL
S01AA11	GENTAMICIN
A10BD05	METFORMIN
G03AB05	ETHINYLESTRADIOL
G01AA10	CLINDAMYCIN
B01AC56	ACETYLSALICYLIC ACID
A02BD07	AMOXICILLIN
P01BF04	PYRIMETHAMINE
D07CB04	DEXAMETHASONE
M05BA03	PAMIDRONIC ACID
R06AA59	DOXYLAMINE
N06AA02	IMIPRAMINE
S01AA13	FUSIDIC ACID
N02AA58	DIHYDROCODEINE
M01AX05	GLUCOSAMINE
R03AC19	OLODATEROL
C10BA05	EZETIMIBE
B05CB01	SODIUM CHLORIDE
J05AB03	VIDARABINE
L01XE04	SUNITINIB
S03CA02	PREDNISOLONE
M05BB04	RISEDRONIC ACID
J02AC02	ITRACONAZOLE
R03DA51	DIPROPHYLLINE
C02AC06	RILMENIDINE
J01DC05	CEFOTETAN
D01BA01	GRISEOFULVINE
L01XX23	MITOTANE
C03BA11	INDAPAMIDE
S01AE02	NORFLOXACINE
N06DA04	GALANTAMINE
1037042	DABIGATRAN
J02AC03	VORICONAZOLE
N07AA02	PYRIDOSTIGMINE
C09BB10	VERAPAMIL
S02DA02	COCAINE
C01BB02	MEXILETINE
P02CA03	ALBENDAZOLE
DRINK	ALCOHOL
N03AX17	STIRIPENTOL
A10AC03	INSULIN
N05AX12	ARIPIPRAZOLE
J04AM01	STREPTOMYCIN
N03AB05	FOSPHENYTOIN
H05BA02	CALCITONIN
J05AR07	STAVUDINE
C03EB01	FUROSEMIDE
D06AX12	AMIKACIN
S03BA02	PREDNISOLONE
J07BD01	MEASLES VACCINE
J07BD51	MEASLES VACCINE
H02AB02	DEXAMETHASONE
J05AR05	LAMIVUDINE
A12CB02	ZINC
A01AD01	ADRENALINE
L01XE15	VEMURAFENIB
N04BC04	ROPINIROLE
N07BC51	BUPRENORPHINE
N05AX13	PALIPERIDONE
C10BX04	ACETYLSALICYLIC ACID
C02LC05	MOXONIDIN
C04AD03	PENTOXIFYLLINE
L01XX32	BORTEZOMIB
L01XE16	CRIZOTINIB
N06AA10	NORTRIPTYLINE
C02LE01	PRAZOSIN
L01AA06	IFOSFAMIDE
C10BX01	ACETYLSALICYLIC ACID
R03AA01	EPINEPHRINE IS THE NAME FOR ADRENALINE SEARCHABLE ON THE ATC SEARCH ENGINE.
L03AC01	ALDESLEUKIN
G01AF11	KETOCONAZOLE
C07AB52	METOPROLOL
N03AF03	RUFINAMIDE
R01AD60	HYDROCORTISONE
A10BD11	METFORMIN
P01AB01	METRONIDAZOLE
C10AA03	PRAVASTATIN
J04AM02	RIFAMPICIN
C03EA04	ALTIZIDE
J05AX12	DOLUTEGRAVIR
A06AG07	SORBITOL
J04AK05	BEDAQUILINE
N03AX09	LAMOTRIGINE
M01CB03	GOLD
J05AR03	TENOFOVIR DISOPROXIL
M05BB05	CHOLECALCIFEROL
L04AX02	THALIDOMIDE
C09DA03	VALSARTAN
N02CA52	ERGOTAMINE
L03AB01	INTERFERON ALFA
J01GB06	AMIKACIN
1431112	INTERFERON ALFA
A07AA04	STREPTOMYCIN
A10AF01	INSULIN
A12CB	ZINC
