Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
0	LERCANIDIPINE	135056			GRAPEFRUIT JUICE				ANSM	304-LERCANIDIPINE.html	Increased risk of undesirable effects, especially edema, due to decrease of the intestinal metabolism of the dihyropyridine	Take into account	
1	LERCANIDIPINE	135056			CICLOSPORIN	3008			ANSM	304-LERCANIDIPINE.html	Moderate increase of the blood concentrations of the immunosuppressant and more notable increase of the concentrations of the lercanidipine	Precaution for use	Separate the time when the two medications are taken. Blood concentration dosage of the immunosuppressant, and adjustment if necessary of its dosage during the administration of the medications together and after it is stopped
2	LERCANIDIPINE	135056			ITRACONAZOLE	28031			ANSM	304-LERCANIDIPINE.html	Increased risk of undesirable effects, especially edema, due to decrease of the hepatic metabolism of the dihydorpyridine	Not recommended	
3	LERCANIDIPINE	135056			KETOCONAZOLE	6135			ANSM	304-LERCANIDIPINE.html	Increased risk of undesirable effects, especially edema, due to decrease of the hepatic metabolism of the dihydropyridine	Not recommended	
4	PRISTINAMYCIN	66958					VITAMIN K ANTAGONISTS	B01AA-001	ANSM	420-PRISTINAMYCIN.html	Increase of the effect of the vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the vitamin K antagonist during the treatment with the pristinamycin and after it is stopped
5	PRISTINAMYCIN	66958			COLCHICINE	2683			ANSM	420-PRISTINAMYCIN.html	Increase of the undesirable effects of the colchicine with potentially fatal consequences	Contraindication	
6	PRISTINAMYCIN	66958					IMMUNOSUPPRESSANTS	L04A	ANSM	420-PRISTINAMYCIN.html	Increase of the blood concentrations of the immunosuppressant due to inhibition of its hepatic metabolism	Precaution for use	Blood concentration dosage of the immunosuppressant, testing of renal function, and adjustment of its dosage during the administration of the medications together and after it is stopped.
7	APOMORPHINE	1043			ONDANSETRON	26225			ANSM	73-APOMORPHINE.html	Severe hypotension and loss of consciousness have been reported when ondansetron and apomorphine are taken together.	Contraindication	
8	TELAPREVIR	1102261					VASOCONSTRICTOR ALKALOIDS OF ERGOT OF RYE	N02CA0-001	ANSM	494-TELAPREVIR.html	Ergotism with possibility of necrosis of the extremities (inhibition of the hepatic metabolism of the alkaloid of ergot of rye)	Contraindication	
9	TELAPREVIR	1102261			AMIODARONE	703			ANSM	494-TELAPREVIR.html	Disorders of autoregulation and of cardiac conduction with risk of excessive bradycardia	Contraindication	
10	TELAPREVIR	1102261					ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001	ANSM	494-TELAPREVIR.html	Risk of very large decrease of the concentrations of telaprevir.	Contraindication	
