Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
Ambenonium	623	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Donepezil	135447	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Galantamine	4637	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Neostigmine	7315	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Pyridostigmine	9000	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Rivastigmine	183379	0	ANSM	ACETYL-CHOLINESTERASE INHIBITORS	ACETCHO
Adrenaline 	3992	1	ANSM	ADRENALINE (ORAL-DENTAL OR SUB-CUTANEOUS)	A01AD
Buprenorphine	1819	2	ANSM	AGONIST-ANTAGONIST OPIOIDS 	NO2A-001
Nalbuphine	7238	2	ANSM	AGONIST-ANTAGONIST OPIOIDS 	NO2A-001
Pentazocine	8001	2	ANSM	AGONIST-ANTAGONIST OPIOIDS 	NO2A-001
Alfentanil	480	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Codeine 	2670	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Dextromoramide	3290	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Dihydrocodeine	23088	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Fentanyl	4337	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Hydromorphone 	3423	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Morphine	7052	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Oxycodone	7804	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Pethidine	6754	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Phenoperidine	8143	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Remifentanil	73032	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
Sufentanil	56795	3	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
