ATC Code	Drug Name
N04BC06	CABERGOLINE
R06AD08	OXOMEMAZINE
D01AE15	TERBINAFINE
N03AF03	RUFINAMIDE
C01AA05	DIGOXIN 
G01AF04	MICONAZOLE 
C01BA71	QUINIDINE
C01CA17	MIDODRINE
N07XX06	 TETRABENAZINE
A12CB01	ZINC
G03AC06	MEDROXYPROGESTERONE
B03AC	INJECTABLR IRON SALTS
G03AB02	ETHINYLESTRADIOL
R01AC03	AZELASTINE
R05DA04	CODEINE 
D02AA	RUG: SILICONE
D07AC13	MOMETASONE
C09BB10	VERAPAMIL
A10BB07	GLIPIZIDE
J01XX08	LINEZOLIDE 
V03AB05	PROMETHAZINE
B01AC56	ACETYLSALICYLIC ACID
C09DX02	ALISKIREN 
R06AB04	CHLORPHENAMINE
L01AD05	FOTEMUSTINE
N05AD09	FLUANISONE
A02BD08	METRONIDAZOLE
N06AX12	BUPROPION
C02KX0	MACITENTAN
N03AF04	ESCLICARBAZPINE
D06AX07	GENTAMICIN
L01BA0	METHOTREXATE
J01E	TRIMETHOPRIM 
A02BD04	 CLARITHROMYCIN
J01FA10	AZITHROMYCIN
C03CA01	FUROSEMIDE
J01MA07	LOMEFLOXACIN
C10AB01	CLOFIBRATE
J01XA02	TEICOPLANIN
J01GB09	DIBEKACIN 
L04AA31	TERIFLUNOMIDE
A11CC05	CHOLECALCIFEROL 
B03AC03	INJECTABLR IRON SALTS
C08DA01	VERAPAMIL
N05AC04	PIPOTIAZINE
S02CA01	PREDNISOLONE
G03DB01	DYDROGESTERONE
J01FA05	MIDECAMYCIN
C10AA07	ROSUVASTATIN
L01BC01	FLUOROURACIL 
G02CB04	QUINAGOLIDE
L01CD02	DOCETAXEL
A10AD05	INSULIN 
N03AF02	OXCARBAZEPINE 
2161	CATION EXCHANGE RESINS
A07AC01	MICONAZOLE 
J04AM02	ISONIAZID
J05AR04	ZIDOVUDINE
M03BX07	TETRAZEPAM
A10AD04	INSULIN 
J01XD01	METRONIDAZOLE
N01AB04	ENFLURANE
L01XX43	VISMODEGIB
N07XX59	DEXTROMETHORPHAN
N06AG02	MOCLOBEMIDE
N02AX02	TRAMADOL
N05AH03	OLANZAPINE 
R01AD60	HYDROCORTISONE
D07CA02	METHYLPREDNISOLONE 
C07AA15	CARTEOLOL
G03CA53	ESTRADIOL
A07EC02	MESALAZINE
D01AC52	MICONAZOLE
J01CA12	PIPERACILLIN
A01AB04	AMPHOTERICINE B 
alteplase	ALTEPLASE RECOMBINANT
B01AB06	NADROPARIN 
N02AX06	TAPENTADOL 
R01AD13	CICLESONIDE
N03AX10	FELBAMATE
A01AB17	METRONIDAZOLE
G02CA01	RITODRINE
L01CX01	TRABECTEDINE
A02AA04	MAGNESIUM HYDROXIDE
P01BF04	PYRIMETHAMINE
M05BB05	ALENDRONIC ACID
H01AA02	TETRACOSACTIDE
R05DA01	ETHYLMORPHINE
DRINK	ALCOHOL 
N02CX02	CLONIDINE
C02LA01	RESERPINE 
J04AM05	PYRAZINAMIDE
J01DC05	CEFOTETAN
L01XE16	CRIZOTINIB 
N05AL01	SULPIRIDE
J02AC02	ITRACONAZOLE
N05AD01	HALOPERIDOL
N06DA04	GALANTAMINE
R06AB01	BROMPHENIRAMINE
J02AC03	VORICONAZOLE
A10AF01	INSULIN
J05AX12	DOLUTEGRAVIR
S03CA01	DEXAMETHASONE
A07EC03	OLSALAZINE
S01EA04	CLONIDINE 
N01AB07	DESFLURANE
G04BD11	FESOTERODINE 
J01GB07	NETILMICIN
R06AX07	TRIPROLIDINE
J01MA03	PEFLOXACIN
L01XE24	PONATINIB
P01BB51	PROGUANIL
C10AA03	PRAVASTATIN
V10BX01	STRONTIUM
