Drug 1 ATC Code	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 ATC Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
L04AA24	ABATACEPT 	614391				ANTI-TNF ALPHA				ANSM	1-ABATACEPT.html	Increase of immunosupression	Not recommended	
L04AA24	ABATACEPT 	614391						ATTENUATED LIVE VIRUS VACCINES	J07B-001	ANSM	1-ABATACEPT.html	Risk of possibly fatal general vaccine disease. 	Not recommended	And, for the three months following the end of the treatment.
S01AA13	FUSIDIC ACID	4608			S01XA18	CICLOSPORIN	3008			ANSM	10-FUSIDIC-ACID.html	Risk of increase of the blood concentrations of ciclosporin and of the creatinemia 	Precautions for use	Blood concentration dosage of ciclosporin, testing of renal function and adjustment of the dosage during the treatment and after it is stopped. 
S01AA13	FUSIDIC ACID	4608						HMG-COA REDUCTASE INHIBITORS (STATINS)	C10AA	ANSM	10-FUSIDIC-ACID.html	Increased risk of undesirable effects (concentration dependent) of the rhabdomyolysis type.	Contraindication	Stop the treatment with the HMG-COA Reductase Inhibitor before starting the treatment with fusidic acid or use another antibiotic.
S01AA13	FUSIDIC ACID	4608						OMBITASVIR + PARITAPREVIR	OMPA	ANSM	10-FUSIDIC-ACID.html	Increase of the plasma concentrations of the fusidic acid due to decrease of its hepatic metabolism by the therapy with ombitasvir+paritaprevir	Contraindication	
N02AE01	BUPRENORPHINE	1819						AMPRENAVIR (AND, BY EXTRAPOLATION, FOSAMPRENAVIR)	J05AE0-001	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to the simultaneous inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC01	BUPRENORPHINE	1819						AMPRENAVIR (AND, BY EXTRAPOLATION, FOSAMPRENAVIR)	J05AE0-001	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to the simultaneous inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N07BC51	BUPRENORPHINE	1819						AMPRENAVIR (AND, BY EXTRAPOLATION, FOSAMPRENAVIR)	J05AE0-001	ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to the simultaneous inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
N02AE01	BUPRENORPHINE	1819			J05AE08	ATAZANAVIR	343047			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to simultaneous inhibition and acceleration of its metabolism by the protease inhibitor 	Take into account	
N07BC01	BUPRENORPHINE	1819			J05AE08	ATAZANAVIR	343047			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to simultaneous inhibition and acceleration of its metabolism by the protease inhibitor 	Take into account	
N07BC51	BUPRENORPHINE	1819			J05AE08	ATAZANAVIR	343047			ANSM	100-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to simultaneous inhibition and acceleration of its metabolism by the protease inhibitor 	Take into account	
