Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
0	ABATACEPT	614391			ANTI-TNF ALPHA				ANSM	1-ABATACEPT.html	Increase of immunosupression	Not recommended	
1	ABATACEPT	614391					ATTENUATED LIVE VIRUS VACCINES	J07B-001	ANSM	1-ABATACEPT.html	Risk of possibly fatal generalized vaccine disease	Not recommended	as well as for the three months following the end of the treatment.
2	FUSIDIC ACID	4608					HMG-COA REDUCTASE INHIBITORS (STATINS)	C10AA	ANSM	10-FUSIDIC-ACID.html	Increased risk of undesirable effects (concentration dependent) of the rhabdomyolysis type.	CONTRAINDICATION	If possible, stop the treatment with the HMG-COA Reductase Inhibitor before starting the treatment with fusidic acid or use another antibiotic.
3	FUSIDIC ACID	4608					OMBITASVIR + PARITAPEVIR	OMPA	ANSM	10-FUSIDIC-ACID.html	Increase of the plasma concentrations of the fusidic acid due to decrease of its hepatic metabolism by the therapy with ombitasvir+paritaprevir	CONTRAINDICATION	
4	BOTULINUM TOXIN	1716					AMINOGLYCOSIDES	J01GB-001	ANSM	100-BOTULINUM-TOXIN.html	Risk of increase of the effects of the botulinum toxin with the aminoglycosides (by extrapolation from the effects observed during the course of the botulism)	Not recommended	Use another antibiotic.
5			BRADYCARIA INDUCING DRUGS	C0N0S0			OTHER BRADYCARIA INDUCING DRUGS	C0N0S0	ANSM	101-BRADYCARIA-INDUCING-DRUGS.html	Risk of excessive bradycardia (addition of the effects)	Take into account	
6			BRADYCARIA INDUCING DRUGS	C0N0S0	FINGOLIMOD	1012892			ANSM	101-BRADYCARIA-INDUCING-DRUGS.html	Increase of the bradycardia inducing effects which can have fatal consequences. The beta-blocking agents are even more at risk since they inhibit the adrenergic compensation mechanisms	Not recommended	Clinical monitoring and sustained EKG during the 24 hours following the first dose.
7			BRADYCARIA INDUCING DRUGS	C0N0S0			SUBSTANCES THAT TEND TO INDUCE TORSADES DE POINTES	C01-N05	ANSM	101-BRADYCARIA-INDUCING-DRUGS.html	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Precaution for use	Clinical monitoring and EKG during the administration of these together.
8	BRENTUXIMAB				BLEOMYCIN	1622			ANSM	102-BRENTUXIMAB.html	Risk of increase of pulmonary toxicity	CONTRAINDICATION	
9	BRENTUXIMAB						STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	102-BRENTUXIMAB.html	Increase of the concentrations of the active metabolite of the brentuximab, with risk of neutropenia	Take into account	
10	BUPRENORPHINE	1819			ATAZANAVIR	343047			ANSM	103-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to simultaneous inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
11	BUPRENORPHINE	1819					BENZODIAZEPINES AND RELATED	N05-001	ANSM	103-BUPRENORPHINE.html	With the buprenorphine used in opioid replacement therapy: increased risk of respiratory depression which could be fatal.	Take into account	Evaluate carefully the risk/benefits relationship of administering these substances together. Inform the patient of the necessity of adhering to the prescribed dosages.
12	BUPRENORPHINE	1819			FOSAMPRENAVIR	358262			ANSM	103-BUPRENORPHINE.html	Risk of increase or of decrease of the effects of the A to take into account buprenorphine [sic], simultaneously by inhibition and acceleration of its metabolism by the protease inhibitor.	Take into account	
13	BUPRENORPHINE	1819					RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	103-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
14	BUPRENORPHINE	1819			ITRACONAZOLE	28031			ANSM	103-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
15	BUPRENORPHINE	1819			KETOCONAZOLE	6135			ANSM	103-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring and adjustment of the dosage of the buprenorphine during the treatment with the inhibitor and, if the situation requires, after it is stopped.
16	BUPROPION	42347			CLOMIPRAMINE	2597			ANSM	104-BUPROPION.html	Risk of increase of the undesirable effects of the cloripramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	Clinical monitoring. If needed, adjustment of the dosage of the clomipramine during the treatment with the bupropion.
