drug pairs 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00199    object:CARBAMAZEPINE precipitant: ERYTHROMYCIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB00715    object:TAMOXIFEN precipitant: PAROXETINE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00976    object:CARBAMAZEPINE precipitant: TELITHROMYCIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01263    object:SIMVASTATIN precipitant: POSACONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00218    object:AMIODARONE precipitant: MOXIFLOXACIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB00476    object:TAMOXIFEN precipitant: DULOXETINE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00641    object:SIMVASTATIN precipitant: AMIODARONE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00390    object:DIGOXIN precipitant: ERYTHROMYCIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB01263    object:ATORVASTATIN precipitant: POSACONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01026    object:SIMVASTATIN precipitant: KETOCONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01076    object:ATORVASTATIN precipitant: KETOCONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00582    object:SIMVASTATIN precipitant: VORICONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00582    object:ATORVASTATIN precipitant: VORICONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01263    object:DIGOXIN precipitant: POSACONAZOLE 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00564    object:CARBAMAZEPINE precipitant: CLARITHROMYCIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01211    object:DIGOXIN precipitant: CLARITHROMYCIN 	CredibleMeds Evidence: None 	World-Vista Evidence: None 
