drug pairs 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00601    object:Paroxetine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01100    object:Trimipramine precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00496-http://bio2rdf.org/drugbank:DB00458    object:Imipramine precipitant: Darifenacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00588-http://bio2rdf.org/drugbank:DB00503    object:Ritonavir precipitant: FLUTICASONE PROPIONATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB05351    object:Ketoconazole precipitant: TAK-390MR 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Cimetidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00564    object:Risperidone precipitant: Carbamazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB01197    object:Spironolactone precipitant: Captopril 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00918    object:Almotriptan precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: Fluconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01264    object:Darunavir precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01023-http://bio2rdf.org/drugbank:DB00564    object:Carbamazepine precipitant: Felodipine 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00661    object:Verapamil precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB00091    object:CYCLOSPORINE precipitant: POSACONAZOLE 	NDF-RT Evidence: None 	World-Vista Evidence: None 
