drug pairs 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB01184    object:Escitalopram precipitant: Domperidone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00615    object:Fosamprenavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB05294    object:Vandetanib precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01264    object:Methylergometrine precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00503    object:Dihydroergotamine precipitant: Ritonavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB01264    object:Ergotamine precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01175-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Escitalopram 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB01264    object:Darunavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00738    object:Pentamidine precipitant: Arsenic trioxide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB01100    object:Pimozide precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
