drug pairs 
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00224    object:Dihydroergotamine precipitant: Indinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00615    object:Fosamprenavir precipitant: Rifabutin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00738-http://bio2rdf.org/drugbank:DB01175    object:Escitalopram precipitant: Pentamidine 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01218    object:Halofantrine precipitant: Erythromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01072    object:Atazanavir precipitant: Rifampicin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB05294    object:Vandetanib precipitant: Amiodarone 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00204    object:Dofetilide precipitant: Droperidol 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB01218    object:Halofantrine precipitant: Dofetilide 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00320    object:Dihydroergotamine precipitant: Saquinavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00261    object:Anagrelide precipitant: Sulpiride 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00450    object:Droperidol precipitant: Moxifloxacin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01264    object:Methylergometrine precipitant: Darunavir 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB01211    object:Domperidone precipitant: Clarithromycin 	ONC-HighPriority Evidence: None 	World-Vista Evidence: None 
