drug pairs 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00814    object:Meloxicam precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01023-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Felodipine 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00612    object:Etodolac precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00612    object:Valdecoxib precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB06228    object:Rivaroxaban precipitant: Betamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00814    object:Lisinopril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB04743    object:Lisinopril precipitant: Nimesulide 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00796    object:Enalapril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00788    object:Enalapril precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00328    object:Lisinopril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB08822-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Azilsartan medoxomil 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00580    object:Lisinopril precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB08822    object:Lisinopril precipitant: Azilsartan medoxomil 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB04743    object:Nimesulide precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB01016    object:Glyburide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00672    object:Chlorpropamide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00482    object:Celecoxib precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB01124    object:Tolbutamide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00573    object:Enalapril precipitant: Fenoprofen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06695-http://bio2rdf.org/drugbank:DB00959    object:Dabigatran etexilate precipitant: Methylprednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00584-http://bio2rdf.org/drugbank:DB00328    object:Enalapril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB06695    object:Dabigatran etexilate precipitant: Betamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06605-http://bio2rdf.org/drugbank:DB00959    object:Apixaban precipitant: Methylprednisolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB06605    object:Apixaban precipitant: Triamcinolone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00796    object:Lisinopril precipitant: Candesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
