drug pairs 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00814    object:Trandolapril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01023-http://bio2rdf.org/drugbank:DB00489    object:Sotalol precipitant: Felodipine 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Losartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00373    object:Rofecoxib precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00876    object:Captopril precipitant: Eprosartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01067-http://bio2rdf.org/drugbank:DB00492    object:Glipizide precipitant: Fosinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00784-http://bio2rdf.org/drugbank:DB00519    object:Trandolapril precipitant: Mefenamic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00275    object:Ramipril precipitant: Olmesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01067-http://bio2rdf.org/drugbank:DB00584    object:Glipizide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00542-http://bio2rdf.org/drugbank:DB00672    object:Chlorpropamide precipitant: Benazepril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB06605    object:Apixaban precipitant: Betamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00328    object:Fosinopril precipitant: Indomethacin 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
