drug pair    CredibleMeds    DrugBank
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00573    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01583    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01050    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01137    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00279    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01039    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00218    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01110    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00712    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00461    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB01095    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00916    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00227    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00682-http://bio2rdf.org/drugbank:DB00465    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
