drug pair    KEGG    DrugBank
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00747    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01354    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01355    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00214    [('http://rest.kegg.jp/ddi/D00126\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01352    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01353    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01198    [('http://rest.kegg.jp/ddi/D01276\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB06605    [('http://rest.kegg.jp/ddi/D00118\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00668-http://bio2rdf.org/drugbank:DB01247    [('http://rest.kegg.jp/ddi/D00095\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01238    [('http://rest.kegg.jp/ddi/D00252\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00709-http://bio2rdf.org/drugbank:DB00943    [('http://rest.kegg.jp/ddi/D00353\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00820    [('http://rest.kegg.jp/ddi/D00894\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00920-http://bio2rdf.org/drugbank:DB00427    [('http://rest.kegg.jp/ddi/D01332\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB05271-http://bio2rdf.org/drugbank:DB08919    [('http://rest.kegg.jp/ddi/D05768\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB00247    [('http://rest.kegg.jp/ddi/D00675\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01297    [('http://rest.kegg.jp/ddi/D00126\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB01369    [('http://rest.kegg.jp/ddi/D00437\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00887    [('http://rest.kegg.jp/ddi/D00120\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB08907    [('http://rest.kegg.jp/ddi/D00211\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB08907    [('http://rest.kegg.jp/ddi/D00298\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01303    [('http://rest.kegg.jp/ddi/D00295\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB06287    [('http://rest.kegg.jp/ddi/D02555\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01023-http://bio2rdf.org/drugbank:DB00418    [('http://rest.kegg.jp/ddi/D00319\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00312-http://bio2rdf.org/drugbank:DB00317    [('http://rest.kegg.jp/ddi/D00499\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00519    [('http://rest.kegg.jp/ddi/D00127\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06605-http://bio2rdf.org/drugbank:DB06228    [('http://rest.kegg.jp/ddi/D03213\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB05812    [('http://rest.kegg.jp/ddi/D00252\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00169-http://bio2rdf.org/drugbank:DB02300    [('http://rest.kegg.jp/ddi/D00188\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06287    [('http://rest.kegg.jp/ddi/D00211\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB01238    [('http://rest.kegg.jp/ddi/D01078\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01100-http://bio2rdf.org/drugbank:DB01072    [('http://rest.kegg.jp/ddi/D00560\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00715    [('http://rest.kegg.jp/ddi/D03731\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00661    [('http://rest.kegg.jp/ddi/D02342\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00390    [('http://rest.kegg.jp/ddi/D00184\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01072    [('http://rest.kegg.jp/ddi/D00276\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01076    [('http://rest.kegg.jp/ddi/D00276\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00668-http://bio2rdf.org/drugbank:DB01142    [('http://rest.kegg.jp/ddi/D00095\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00912-http://bio2rdf.org/drugbank:DB00612    [('http://rest.kegg.jp/ddi/D00594\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00564    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB01247    [('http://rest.kegg.jp/ddi/D01179\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01172    [('http://rest.kegg.jp/ddi/D00331\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00047    [('http://rest.kegg.jp/ddi/D02358\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01351    [('http://rest.kegg.jp/ddi/D00554\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00413-http://bio2rdf.org/drugbank:DB01624    [('http://rest.kegg.jp/ddi/D00559\r', None)]    [(None, None)]
