drug pair    NDFRT    DrugBank
http://bio2rdf.org/drugbank:DB00514-http://bio2rdf.org/drugbank:DB01247    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033572', u'DEXTROMETHORPHAN/ISOCARBOXAZID [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB01247-http://bio2rdf.org/drugbank:DB01104    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000033201', u'ISOCARBOXAZID/SERTRALINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00601    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000035023', u'LINEZOLID/PAROXETINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB01104    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182691', u'SERTRALINE/TAMOXIFEN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00266-http://bio2rdf.org/drugbank:DB00712    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000032967', u'DICUMAROL/FLURBIPROFEN [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00915-http://bio2rdf.org/drugbank:DB00246    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000182684', u'AMANTADINE/ZIPRASIDONE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00641    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034800', u'SIMVASTATIN/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01100    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176724', u'PIMOZIDE/TRIMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00862-http://bio2rdf.org/drugbank:DB00701    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000034900', u'AMPRENAVIR/VARDENAFIL [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB01268    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000176671', u'SUNITINIB/VORICONAZOLE [VA Drug Interaction]')]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01104    [(u'http://purl.bioontology.org/ontology/NDFRT/N0000178012', u'SERTRALINE/TRIMIPRAMINE [VA Drug Interaction]')]    [(None, None)]
