drug pair    NLMCorpus    DrugBank
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01023    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00640-http://bio2rdf.org/drugbank:DB00975    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00687-http://bio2rdf.org/drugbank:DB00211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00641    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06212-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00795-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06695-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01166    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00966    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00758    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00656-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00440-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00490    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB06695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB04855    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB06695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04855-http://bio2rdf.org/drugbank:DB00641    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00727-http://bio2rdf.org/drugbank:DB00203    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00009-http://bio2rdf.org/drugbank:DB00727    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00457    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00872    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00658-http://bio2rdf.org/drugbank:DB00537    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01020-http://bio2rdf.org/drugbank:DB00203    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01370-http://bio2rdf.org/drugbank:DB01344    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00401-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00575    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00700    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00575    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
