drug pair    PKCorpus    DrugBank
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00343    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01076    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00176    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01124    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00734    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00656    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00289    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00993    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01076    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00656    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01149-http://bio2rdf.org/drugbank:DB00897    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00949    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00203    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00289    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00734    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01104-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00321    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB01076    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00625-http://bio2rdf.org/drugbank:DB01076    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00872    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00382    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00382    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB01396    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00203    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
