drug pair    Twosides    DrugBank
http://bio2rdf.org/drugbank:DB00656-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00656    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01069-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00734    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00737    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00268-http://bio2rdf.org/drugbank:DB00246    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01223-http://bio2rdf.org/drugbank:DB01339    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00455-http://bio2rdf.org/drugbank:DB01149    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00440    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01275-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00672-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00590-http://bio2rdf.org/drugbank:DB00862    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00209    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00246    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01001-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00932    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00395-http://bio2rdf.org/drugbank:DB00745    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00540    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00794    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB06700    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00381-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00656    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB01162    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB01291    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00557    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01001-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00425-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00794-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB00726    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01224-http://bio2rdf.org/drugbank:DB00726    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB01319    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00924-http://bio2rdf.org/drugbank:DB00843    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00338    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01241-http://bio2rdf.org/drugbank:DB01132    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00285-http://bio2rdf.org/drugbank:DB01263    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00656-http://bio2rdf.org/drugbank:DB00216    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00246    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00761-http://bio2rdf.org/drugbank:DB00209    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00549    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00938-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00998    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00932    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00983    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB01264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00363    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB01062    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00370-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00727-http://bio2rdf.org/drugbank:DB00820    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00433-http://bio2rdf.org/drugbank:DB01044    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB01069    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01001-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB01067    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01069-http://bio2rdf.org/drugbank:DB00656    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01198-http://bio2rdf.org/drugbank:DB01264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00918    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00656-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00213-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB01162    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00231    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB06700    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01589    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00285-http://bio2rdf.org/drugbank:DB00216    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00285    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB01105    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00843-http://bio2rdf.org/drugbank:DB01224    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01224-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
