drug pair    CredibleMeds    KEGG
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [('http://rest.kegg.jp/ddi/D00350\r', None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00175-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB01263    [(None, None)]    [('http://rest.kegg.jp/ddi/D01915\r', None)]
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [('http://rest.kegg.jp/ddi/D00823\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [('http://rest.kegg.jp/ddi/D00350\r', None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00578\r', None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00359\r', None)]
http://bio2rdf.org/drugbank:DB01095-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00175-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00578\r', None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [('http://rest.kegg.jp/ddi/D00350\r', None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00578\r', None)]
http://bio2rdf.org/drugbank:DB01098-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00758-http://bio2rdf.org/drugbank:DB00338    [(None, None)]    [('http://rest.kegg.jp/ddi/D00455\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB00675-http://bio2rdf.org/drugbank:DB00715    [(None, None)]    [('http://rest.kegg.jp/ddi/D00966\r', None)]
http://bio2rdf.org/drugbank:DB01095-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [('http://rest.kegg.jp/ddi/D00578\r', None)]
