drug pair    DDICorpus2013    KEGG
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00990    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00819-http://bio2rdf.org/drugbank:DB00794    [(None, None)]    [('http://rest.kegg.jp/ddi/D00218\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01068    [(None, None)]    [('http://rest.kegg.jp/ddi/D00280\r', None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01135-http://bio2rdf.org/drugbank:DB01190    [(None, None)]    [('http://rest.kegg.jp/ddi/D00277\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00009    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB01023-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [('http://rest.kegg.jp/ddi/D00059\r', None)]
http://bio2rdf.org/drugbank:DB01254-http://bio2rdf.org/drugbank:DB01229    [(None, None)]    [('http://rest.kegg.jp/ddi/D00491\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00413    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00573    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00795    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB01238    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00709-http://bio2rdf.org/drugbank:DB00943    [(None, None)]    [('http://rest.kegg.jp/ddi/D00353\r', None)]
http://bio2rdf.org/drugbank:DB00531-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00280    [(None, None)]    [('http://rest.kegg.jp/ddi/D00303\r', None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00292\r', None)]
http://bio2rdf.org/drugbank:DB01248-http://bio2rdf.org/drugbank:DB01268    [(None, None)]    [('http://rest.kegg.jp/ddi/D02165\r', None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00495    [(None, None)]    [('http://rest.kegg.jp/ddi/D00413\r', None)]
http://bio2rdf.org/drugbank:DB00531-http://bio2rdf.org/drugbank:DB00437    [(None, None)]    [('http://rest.kegg.jp/ddi/D00224\r', None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01242    [(None, None)]    [('http://rest.kegg.jp/ddi/D00811\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00368    [(None, None)]    [('http://rest.kegg.jp/ddi/D00076\r', None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D02342\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00872    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00684-http://bio2rdf.org/drugbank:DB00903    [(None, None)]    [('http://rest.kegg.jp/ddi/D00063\r', None)]
http://bio2rdf.org/drugbank:DB00995-http://bio2rdf.org/drugbank:DB00859    [(None, None)]    [('http://rest.kegg.jp/ddi/D00237\r', None)]
http://bio2rdf.org/drugbank:DB00579-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00367\r', None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB00641    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00238-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00233    [(None, None)]    [('http://rest.kegg.jp/ddi/D00162\r', None)]
http://bio2rdf.org/drugbank:DB00467-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [('http://rest.kegg.jp/ddi/D00310\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00512\r', None)]
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB01076    [(None, None)]    [('http://rest.kegg.jp/ddi/D00565\r', None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00336\r', None)]
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB00175    [(None, None)]    [('http://rest.kegg.jp/ddi/D00565\r', None)]
http://bio2rdf.org/drugbank:DB08816-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00959-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00684-http://bio2rdf.org/drugbank:DB00742    [(None, None)]    [('http://rest.kegg.jp/ddi/D00062\r', None)]
http://bio2rdf.org/drugbank:DB00238-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00576-http://bio2rdf.org/drugbank:DB01124    [(None, None)]    [('http://rest.kegg.jp/ddi/D00380\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00891-http://bio2rdf.org/drugbank:DB00316    [(None, None)]    [('http://rest.kegg.jp/ddi/D00217\r', None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01104    [(None, None)]    [('http://rest.kegg.jp/ddi/D00283\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00822    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00567-http://bio2rdf.org/drugbank:DB01032    [(None, None)]    [('http://rest.kegg.jp/ddi/D00263\r', None)]
http://bio2rdf.org/drugbank:DB00222-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00413    [(None, None)]    [('http://rest.kegg.jp/ddi/D00559\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00563    [(None, None)]    [('http://rest.kegg.jp/ddi/D00142\r', None)]
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [('http://rest.kegg.jp/ddi/D00472\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00533    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00949    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01068    [(None, None)]    [('http://rest.kegg.jp/ddi/D00280\r', None)]
http://bio2rdf.org/drugbank:DB01268-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01032    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00331\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB01066    [(None, None)]    [('http://rest.kegg.jp/ddi/D00475\r', None)]
http://bio2rdf.org/drugbank:DB00248-http://bio2rdf.org/drugbank:DB01233    [(None, None)]    [('http://rest.kegg.jp/ddi/D00726\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [('http://rest.kegg.jp/ddi/D00429\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00316-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00811-http://bio2rdf.org/drugbank:DB00495    [(None, None)]    [('http://rest.kegg.jp/ddi/D00413\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01124    [(None, None)]    [('http://rest.kegg.jp/ddi/D00380\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00788    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00678    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00476    [(None, None)]    [('http://rest.kegg.jp/ddi/D01179\r', None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00537    [(None, None)]    [('http://rest.kegg.jp/ddi/D00142\r', None)]
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00533    [(None, None)]    [('http://rest.kegg.jp/ddi/D00142\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01248-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [('http://rest.kegg.jp/ddi/D00184\r', None)]
http://bio2rdf.org/drugbank:DB01268-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [('http://rest.kegg.jp/ddi/D01276\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00363    [(None, None)]    [('http://rest.kegg.jp/ddi/D00283\r', None)]
http://bio2rdf.org/drugbank:DB01612-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [('http://rest.kegg.jp/ddi/D00346\r', None)]
http://bio2rdf.org/drugbank:DB01029-http://bio2rdf.org/drugbank:DB01258    [(None, None)]    [('http://rest.kegg.jp/ddi/D00523\r', None)]
