drug pair    OSCAR    NLMCorpus
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00214-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00384    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00727    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
