drug pair    DDICorpus2013    Twosides
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01067    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00209-http://bio2rdf.org/drugbank:DB00331    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00331-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00787    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00370-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00481-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00250-http://bio2rdf.org/drugbank:DB00205    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00818-http://bio2rdf.org/drugbank:DB00454    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00951    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00289-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01039-http://bio2rdf.org/drugbank:DB00973    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00819-http://bio2rdf.org/drugbank:DB00794    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00540    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00321    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00575    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00853    [(None, None)]    [(None, None)]
