drug pair    PKCorpus    DDICorpus2013
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB06730    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01029-http://bio2rdf.org/drugbank:DB01258    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB01151    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00647-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01067    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB01033    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00415    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00091    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01124    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00289    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00993    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00316    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00949    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00289    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00196    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00698    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB01258    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01015-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00949-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01592    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01258    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00977    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01076-http://bio2rdf.org/drugbank:DB00717    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00872-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
