drug pairs 
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00734    object:risperidone precipitant: itraconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00683    object:midazolam precipitant: ketoconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00277    object:theophylline precipitant: cimetidine 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00472    object:risperidone precipitant: fluoxetine 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01076    object:atorvastatin precipitant: atazanavir 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00683    object:midazolam precipitant: erythromycin 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01104    object:clozapine precipitant: sertraline 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB01238    object:aripiprazole precipitant: voriconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00224    object:alprazolam precipitant: indinavir 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00582    object:lovastatin precipitant: voriconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00503    object:clozapine precipitant: ritonavir 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00227    object:lovastatin precipitant: clarithromycin 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01167    object:haloperidol precipitant: itraconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB01238    object:aripiprazole precipitant: itraconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00224    object:triazolam precipitant: indinavir 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    object:midazolam precipitant: fluconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB01076    object:atorvastatin precipitant: voriconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00641    object:simvastatin precipitant: fluconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01167-http://bio2rdf.org/drugbank:DB00641    object:simvastatin precipitant: itraconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01072    object:simvastatin precipitant: atazanavir 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00976    object:haloperidol precipitant: telithromycin 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00582    object:triazolam precipitant: voriconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00661    object:simvastatin precipitant: verapamil 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00196    object:haloperidol precipitant: fluconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00857    object:risperidone precipitant: terbinafine 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00582    object:simvastatin precipitant: voriconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00897    object:triazolam precipitant: cimetidine 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB00476    object:thioridazine precipitant: duloxetine 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00897    object:triazolam precipitant: clarithromycin 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB01238    object:aripiprazole precipitant: telithromycin 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00897    object:triazolam precipitant: fluconazole 	DIKB Evidence: None 	Kegg Evidence: None 	Drugbank Evidence: None 
