drug pair    ONCHighPriority    DrugBank
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01149    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00604    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00220    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB01208    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00932    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01208-http://bio2rdf.org/drugbank:DB00933    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01035-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00289-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01577-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB01264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01149-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB01232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB00582    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00937-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00604-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00182-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00514-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00285-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00280    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00342-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01208-http://bio2rdf.org/drugbank:DB00280    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06700-http://bio2rdf.org/drugbank:DB01168    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01579-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB01035    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB00701    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01242-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00980-http://bio2rdf.org/drugbank:DB00537    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00343    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01208-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00280    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00220-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00338    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00696-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01244-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00637-http://bio2rdf.org/drugbank:DB00604    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00342-http://bio2rdf.org/drugbank:DB00604    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01129    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00608-http://bio2rdf.org/drugbank:DB00933    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06700-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00344-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01208-http://bio2rdf.org/drugbank:DB01244    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06700-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06700-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00697-http://bio2rdf.org/drugbank:DB00537    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00218    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00285-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00697-http://bio2rdf.org/drugbank:DB01182    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00344-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01195-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01579-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00637-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00865-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01253-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB01195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01035-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00320-http://bio2rdf.org/drugbank:DB00932    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00933    [(None, None)]    [(None, None)]
