drug pair    OSCAR    DrugBank
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00277-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00741-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00844    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00187-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00812-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01203-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01580-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00286    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01375-http://bio2rdf.org/drugbank:DB00759    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00485-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01136-http://bio2rdf.org/drugbank:DB00281    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01432-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00780-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00863-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00187-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [(None, None)]
