drug pair    NLMCorpus    KEGG
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00640-http://bio2rdf.org/drugbank:DB00975    [(None, None)]    [('http://rest.kegg.jp/ddi/D00045\r', None)]
http://bio2rdf.org/drugbank:DB00658-http://bio2rdf.org/drugbank:DB00537    [(None, None)]    [('http://rest.kegg.jp/ddi/D00186\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01023    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00512\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00641    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB00678-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB06212-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00795-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00678    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00384    [(None, None)]    [('http://rest.kegg.jp/ddi/D00386\r', None)]
http://bio2rdf.org/drugbank:DB00758-http://bio2rdf.org/drugbank:DB06695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00769\r', None)]
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB00177    [(None, None)]    [('http://rest.kegg.jp/ddi/D00400\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01023    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01166    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00966    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00758-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00769\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB06605    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00758-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00769\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00758    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB04855    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00320\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00322\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00550\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01285    [(None, None)]    [('http://rest.kegg.jp/ddi/D00146\r', None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00281\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00681    [(None, None)]    [('http://rest.kegg.jp/ddi/D00203\r', None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB01166-http://bio2rdf.org/drugbank:DB00758    [(None, None)]    [('http://rest.kegg.jp/ddi/D00769\r', None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00575    [(None, None)]    [('http://rest.kegg.jp/ddi/D00281\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [('http://rest.kegg.jp/ddi/D00382\r', None)]
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB01029    [(None, None)]    [('http://rest.kegg.jp/ddi/D00523\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [('http://rest.kegg.jp/ddi/D00255\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00678    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00203-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB00519    [(None, None)]    [('http://rest.kegg.jp/ddi/D00383\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00336\r', None)]
http://bio2rdf.org/drugbank:DB01020-http://bio2rdf.org/drugbank:DB00203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00630\r', None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00401-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [('http://rest.kegg.jp/ddi/D00512\r', None)]
http://bio2rdf.org/drugbank:DB06212-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00700    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB01240-http://bio2rdf.org/drugbank:DB00695    [(None, None)]    [('http://rest.kegg.jp/ddi/D00106\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01240    [(None, None)]    [('http://rest.kegg.jp/ddi/D00106\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01563    [(None, None)]    [('http://rest.kegg.jp/ddi/D00331\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00384    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00214-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB06228    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB01258-http://bio2rdf.org/drugbank:DB00722    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
