drug pair    ONCHighPriority    KEGG
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB04855    [(None, None)]    [('http://rest.kegg.jp/ddi/D00547\r', None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01195    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00907-http://bio2rdf.org/drugbank:DB00391    [(None, None)]    [('http://rest.kegg.jp/ddi/D00110\r', None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00140\r', None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D06007\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01264    [(None, None)]    [('http://rest.kegg.jp/ddi/D00680\r', None)]
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB00391-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [('http://rest.kegg.jp/ddi/D00373\r', None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00308    [(None, None)]    [('http://rest.kegg.jp/ddi/D00648\r', None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00315-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00415\r', None)]
http://bio2rdf.org/drugbank:DB01142-http://bio2rdf.org/drugbank:DB01168    [(None, None)]    [('http://rest.kegg.jp/ddi/D00478\r', None)]
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01168    [(None, None)]    [('http://rest.kegg.jp/ddi/D00478\r', None)]
http://bio2rdf.org/drugbank:DB01142-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D03731\r', None)]
http://bio2rdf.org/drugbank:DB01242-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D00811\r', None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01601    [(None, None)]    [('http://rest.kegg.jp/ddi/D00680\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [('http://rest.kegg.jp/ddi/D00680\r', None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00338    [(None, None)]    [('http://rest.kegg.jp/ddi/D00455\r', None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00933    [(None, None)]    [('http://rest.kegg.jp/ddi/D00547\r', None)]
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [('http://rest.kegg.jp/ddi/D00373\r', None)]
http://bio2rdf.org/drugbank:DB01599-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D00476\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01184-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D04999\r', None)]
http://bio2rdf.org/drugbank:DB01169-http://bio2rdf.org/drugbank:DB00679    [(None, None)]    [('http://rest.kegg.jp/ddi/D00373\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB01167    [(None, None)]    [('http://rest.kegg.jp/ddi/D00350\r', None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [('http://rest.kegg.jp/ddi/D00434\r', None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00637-http://bio2rdf.org/drugbank:DB01211    [(None, None)]    [('http://rest.kegg.jp/ddi/D00234\r', None)]
http://bio2rdf.org/drugbank:DB00933-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00422-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [('http://rest.kegg.jp/ddi/D04999\r', None)]
http://bio2rdf.org/drugbank:DB01242-http://bio2rdf.org/drugbank:DB01168    [(None, None)]    [('http://rest.kegg.jp/ddi/D00478\r', None)]
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00615    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01227    [(None, None)]    [('http://rest.kegg.jp/ddi/D00276\r', None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00477    [(None, None)]    [('http://rest.kegg.jp/ddi/D00270\r', None)]
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D06007\r', None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB00976    [(None, None)]    [('http://rest.kegg.jp/ddi/D00680\r', None)]
http://bio2rdf.org/drugbank:DB00280-http://bio2rdf.org/drugbank:DB01169    [(None, None)]    [('http://rest.kegg.jp/ddi/D00303\r', None)]
http://bio2rdf.org/drugbank:DB01264-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00953-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00675\r', None)]
http://bio2rdf.org/drugbank:DB00289-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D02574\r', None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00320\r', None)]
http://bio2rdf.org/drugbank:DB00762-http://bio2rdf.org/drugbank:DB01072    [(None, None)]    [('http://rest.kegg.jp/ddi/D01276\r', None)]
http://bio2rdf.org/drugbank:DB01208-http://bio2rdf.org/drugbank:DB00391    [(None, None)]    [('http://rest.kegg.jp/ddi/D00590\r', None)]
http://bio2rdf.org/drugbank:DB00679-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00373\r', None)]
