drug pairs 
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00752    object:Tranylcypromine precipitant: Fentanyl 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: Fentanyl 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00752    object:Amitriptyline precipitant: Tranylcypromine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB00752    object:TAPENTADOL precipitant: Tranylcypromine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01247    object:PETHIDINE precipitant: ISOCARBOXAZID 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: PETHIDINE 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01247    object:Desipramine precipitant: ISOCARBOXAZID 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01247    object:TAPENTADOL precipitant: ISOCARBOXAZID 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01037    object:TAPENTADOL precipitant: SELEGILINE 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01247    object:Pseudoephedrine precipitant: ISOCARBOXAZID 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare report of hypertensive cr 
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00780    object:NORTRIPTYLINE precipitant: Phenelzine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB01247    object:NORTRIPTYLINE precipitant: ISOCARBOXAZID 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB00752    object:Pseudoephedrine precipitant: Tranylcypromine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare report of hypertensive cr 
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01247    object:ISOCARBOXAZID precipitant: Fentanyl 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB00780    object:TAPENTADOL precipitant: Phenelzine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00780    object:Desipramine precipitant: Phenelzine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: Imipramine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: Desipramine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB00780    object:Pseudoephedrine precipitant: Phenelzine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00780    object:Phenelzine precipitant: Fentanyl 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00752    object:PETHIDINE precipitant: Tranylcypromine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01037    object:SELEGILINE precipitant: Amitriptyline 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Rare reports of fever, mania a 
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00780    object:PETHIDINE precipitant: Phenelzine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: Major problem with meperidine; 
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00752    object:NORTRIPTYLINE precipitant: Tranylcypromine 	NDF-RT Evidence: None 	ONC-HighPriority Evidence: None 	OSCAR Evidence: 	 
