drug pair    OSCAR    ONCHighPriority
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00780-http://bio2rdf.org/drugbank:DB00321    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00780-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00193-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00752-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01037-http://bio2rdf.org/drugbank:DB00540    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01247-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00780-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00752-http://bio2rdf.org/drugbank:DB00472    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01247-http://bio2rdf.org/drugbank:DB00321    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06204-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00227    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00752-http://bio2rdf.org/drugbank:DB01151    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00342    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00852-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00193-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00193-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB01037    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00193-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB00752    [(None, None)]    [(None, None)]
