drug pair    SemMedDB    OSCAR
http://bio2rdf.org/drugbank:DB00201-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01398-http://bio2rdf.org/drugbank:DB00343    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00936    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00415-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00122    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00328    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB01233    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00690-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB02266    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00454    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00908    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00201-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00201-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00812    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00295-http://bio2rdf.org/drugbank:DB04820    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00540    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB06723    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00727    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00415-http://bio2rdf.org/drugbank:DB00759    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01233    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00991    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00501    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00454-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01053-http://bio2rdf.org/drugbank:DB00199    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00812    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00458    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00233    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB01075    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01053-http://bio2rdf.org/drugbank:DB00759    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00759-http://bio2rdf.org/drugbank:DB00713    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [(None, None)]
