drug pair    OSCAR    PKCorpus
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB01235    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00343    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00908-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00454    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB01356    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01015-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB00252    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00343-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01151-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
