drug pair    KEGG    Twosides
http://bio2rdf.org/drugbank:DB01005-http://bio2rdf.org/drugbank:DB00958    [('http://rest.kegg.jp/ddi/D00341\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB01595    [('http://rest.kegg.jp/ddi/D00280\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00761    [('http://rest.kegg.jp/ddi/D00567\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01268    [('http://rest.kegg.jp/ddi/D00455\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00669-http://bio2rdf.org/drugbank:DB00953    [('http://rest.kegg.jp/ddi/D00451\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00423-http://bio2rdf.org/drugbank:DB00962    [('http://rest.kegg.jp/ddi/D00402\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00448    [('http://rest.kegg.jp/ddi/D00293\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB00285    [('http://rest.kegg.jp/ddi/D00311\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00829    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00787-http://bio2rdf.org/drugbank:DB01117    [('http://rest.kegg.jp/ddi/D00222\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01062-http://bio2rdf.org/drugbank:DB05271    [('http://rest.kegg.jp/ddi/D00465\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00426-http://bio2rdf.org/drugbank:DB01032    [('http://rest.kegg.jp/ddi/D00317\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00181    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00186    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00850    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00745    [('http://rest.kegg.jp/ddi/D00387\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01238    [('http://rest.kegg.jp/ddi/D00136\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00484    [('http://rest.kegg.jp/ddi/D00225\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00433    [('http://rest.kegg.jp/ddi/D00293\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01165-http://bio2rdf.org/drugbank:DB01072    [('http://rest.kegg.jp/ddi/D00453\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01005-http://bio2rdf.org/drugbank:DB01254    [('http://rest.kegg.jp/ddi/D00341\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00582    [('http://rest.kegg.jp/ddi/D00280\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB00231    [('http://rest.kegg.jp/ddi/D00311\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00734    [('http://rest.kegg.jp/ddi/D00270\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01238    [('http://rest.kegg.jp/ddi/D00322\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB01198    [('http://rest.kegg.jp/ddi/D00426\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00181-http://bio2rdf.org/drugbank:DB00575    [('http://rest.kegg.jp/ddi/D00241\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00683    [('http://rest.kegg.jp/ddi/D00308\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01006-http://bio2rdf.org/drugbank:DB00619    [('http://rest.kegg.jp/ddi/D00964\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB01595    [('http://rest.kegg.jp/ddi/D00311\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01020-http://bio2rdf.org/drugbank:DB00203    [('http://rest.kegg.jp/ddi/D00630\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00450    [('http://rest.kegg.jp/ddi/D00280\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00897-http://bio2rdf.org/drugbank:DB00734    [('http://rest.kegg.jp/ddi/D00387\r', None)]    [(None, None)]
