drug pair    ONCHighPriority    Twosides
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00904    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00904    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00477    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00285-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00904-http://bio2rdf.org/drugbank:DB00204    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00477-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00904    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00448    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00338    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00669-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00904-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00780    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB00213    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB01236    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00904-http://bio2rdf.org/drugbank:DB00477    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01236-http://bio2rdf.org/drugbank:DB00450    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00450-http://bio2rdf.org/drugbank:DB00904    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01072-http://bio2rdf.org/drugbank:DB01129    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00215-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
