drug pair    ONCNonInteruptive    Twosides
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01127    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01007    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01110    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00842    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01068    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01595    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00381    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00381    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB00257    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00231    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00257    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00448-http://bio2rdf.org/drugbank:DB01110    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00690    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00381    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00381    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01129-http://bio2rdf.org/drugbank:DB00257    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01127    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB01215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00213-http://bio2rdf.org/drugbank:DB00257    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00215    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00186    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00213-http://bio2rdf.org/drugbank:DB01110    [(None, None)]    [(None, None)]
